value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2018-5-28
"title: R Weekly 2018-22 ggplot2, eRum, Unconf 2018",50,FALSE,NA,unid,2018-5-28
description: Weekly News in the R Community.,44,FALSE,NA,unid,2018-5-28
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,unid,2018-5-28
---,3,FALSE,NA,unid,2018-5-28
"+ [April 2018: ""Top 40"" New Packages](https://rviews.rstudio.com/2018/05/24/april-2018-top-40-new-packages/)",108,FALSE,###  Highlight,link,2018-5-28
+ [ggplot2 2.3.0 — upcoming release](https://www.tidyverse.org/articles/2018/05/ggplot2-2-3-0/),95,FALSE,###  Highlight,link,2018-5-28
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2018-5-28
**CRAN**,8,FALSE,###  New Packages,unid,2018-5-28
+ [vcr: record and replay HTTP requests](https://ropensci.org/technotes/2018/05/25/vcr-http-request-cacahing/),110,FALSE,###  New Packages,link,2018-5-28
"+ [April 2018: ""Top 40"" New Packages](https://rviews.rstudio.com/2018/05/24/april-2018-top-40-new-packages/)",108,FALSE,###  New Packages,link,2018-5-28
**GitHub or Bitbucket**,23,FALSE,###  New Packages,unid,2018-5-28
+ [altair](https://vegawidget.rbind.io/post/2018-05-20-introducing-altair/) - R interface to 'Altair',101,FALSE,###  New Packages,link,2018-5-28
![altair](https://raw.githubusercontent.com/rweekly/image/master/2018/altair.png),81,FALSE,###  New Packages,image,2018-5-28
+ [ggplot2 2.3.0 — upcoming release](https://www.tidyverse.org/articles/2018/05/ggplot2-2-3-0/),95,FALSE,### Insights,link,2018-5-28
+ [Reflections on the ROpenSci Unconference](http://blog.revolutionanalytics.com/2018/05/reflections-on-the-ropensci-unconference.html),135,FALSE,### Insights,link,2018-5-28
+ [My eRum 2018 biggest highlights](https://petolau.github.io/eRum-2018-my-view/),81,FALSE,### Insights,link,2018-5-28
+ [taxize: seven years of taxonomy in R](https://ropensci.org/technotes/2018/05/23/taxize-seven-years/),103,FALSE,### Insights,link,2018-5-28
+ [Context Compatibility in Data Analysis](https://simplystatistics.org/2018/05/24/context-compatibility-in-data-analysis/),123,FALSE,### Insights,link,2018-5-28
