value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2019-11-25
"title: R Weekly 2019-47 palette(), artist, {curlparse}",54,FALSE,NA,unid,2019-11-25
description: Draft of the R Weekly,34,FALSE,NA,unid,2019-11-25
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,unid,2019-11-25
---,3,FALSE,NA,unid,2019-11-25
Release Date: 2019-11-25,24,FALSE,NA,unid,2019-11-25
"This week’s release was curated by [Maëlle Salmon](https://twitter.com/ma_salmon), with help from the RWeekly team members and contributors.",140,FALSE,NA,unid,2019-11-25
+ [A New palette() for R](https://developer.r-project.org/Blog/public/2019/11/21/a-new-palette-for-r/index.html),112,FALSE,###  Highlights,link,2019-11-25
![A New palette() for R](https://raw.githubusercontent.com/rweekly/image/master/2019-11-25/palette.png),103,FALSE,###  Highlights,image,2019-11-25
+ [Our first artist in residence: Allison Horst!](https://blog.rstudio.com/2019/11/18/artist-in-residence/),107,FALSE,###  Highlights,link,2019-11-25
+ [{curlparse}: Parse URLs with libcurl ](https://github.com/hrbrmstr/curlparse),80,FALSE,###  Highlights,link,2019-11-25
"+ [dplyr::ungroup() - forget me not: Part 1](https://coolbutuseless.github.io/2019/11/19/dplyrungroup-forget-me-not/), [Part 2](https://coolbutuseless.github.io/2019/11/20/dplyrungroup-forget-me-not.-part-2./), [Part 3](https://coolbutuseless.github.io/2019/11/22/dplyrungroup-forget-me-not.-part-3./).",302,FALSE,### Insights,link,2019-11-25
+ [Experiments in transforming Excel into R](https://reside-ic.github.io/blog/experiments-in-transforming-excel-into-r/),120,FALSE,### Insights,link,2019-11-25
"+ [With the right tools, it is possible to use R with seventh-grade students](https://joshuamrosenberg.com/post/2019/11/13/using-r-with-7th-grade-science-students/)",164,FALSE,### Insights,link,2019-11-25
+ [SatRday Cardiff recap](https://appsilon.com/satrday-cardiff-2019-recap/),75,FALSE,### Insights,link,2019-11-25
"+ [XI Conference of R Users (Madrid, Spain, Nov 14-16) Welcomes Over 200 Attendees](https://www.r-consortium.org/blog/2019/11/22/xi-conference-of-r-users-madrid-spain-nov-14-16-welcomes-over-200-attendees)",205,FALSE,### Insights,link,2019-11-25
+ [A new kid on the NHS-R block](https://nhsrcommunity.com/blog/a-new-kid-on-the-nhs-r-block/),94,FALSE,### Insights,link,2019-11-25
"+ [Shiny Dev, Software Release Cycles, Rayshader](https://moldach.github.io/project/shiny-dev-software-release-cycles-rayshader/)",129,FALSE,### Insights,link,2019-11-25
"+ [Visualizing the Premier League So Far, Part 1: Overview with xPts Tables and xG Plots](https://ryo-n7.github.io/2019-11-21-visualize-EPL-part-1/)",148,FALSE,### R in the Real World,link,2019-11-25
"![Visualizing the Premier League So Far, Part 1: Overview with xPts Tables and xG Plots](https://raw.githubusercontent.com/rweekly/image/master/2019-11-25/LivMan_match12_summary_plot.png)",187,FALSE,### R in the Real World,image,2019-11-25
+ [Streetmaps: Create a streetmap of your favorite city with ggplot2 and powerpoint](https://ggplot2tutor.com/streetmaps/streetmaps/),133,FALSE,### R in the Real World,link,2019-11-25
+ [R Consortium Infrastructure Steering Committee Chair Wins 2019 COPSS Presidents' Award](https://www.r-consortium.org/blog/2019/11/18/r-consortium-infrastructure-steering-committee-chair-wins-2019-copss-presidents-award),222,FALSE,###  R in Organizations,link,2019-11-25
+ [Exploratory Data Analysis with R Workshop (@University of Milan)](https://github.com/othomantegazza/eda-class),113,FALSE,###  Resources,link,2019-11-25
+ [R for better science with less time](https://openscapes.github.io/slides/betterscience/socalR#1),99,FALSE,###  Resources,link,2019-11-25
+ [Designing ggplots: making clear figures that communicate](https://designing-ggplots.netlify.com/),100,FALSE,###  Resources,link,2019-11-25
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2019-11-25
**CRAN**,8,FALSE,###  New Packages,unid,2019-11-25
+ [lightr: Read Spectrometric Data and Metadata](https://cran.r-project.org/package=lightr),91,FALSE,###  New Packages,link,2019-11-25
+ [uchardet: The Universal Character Encoding Detector](https://cran.r-project.org/package=uchardet),100,FALSE,###  New Packages,link,2019-11-25
**GitHub or Bitbucket**,23,FALSE,###  New Packages,unid,2019-11-25
+ [tdor: data package for Transgender Day of Remembrance](https://github.com/CaRdiffR/tdor),91,FALSE,###  New Packages,link,2019-11-25
+ [cicerone: Provides an easy API to create guided tours for Shiny applications using driver.js.](https://github.com/JohnCoene/cicerone),136,FALSE,###  New Packages,link,2019-11-25
+ [Giftmap: A very simple package with just one function for creating maps suitable for gifting](https://github.com/lina2497/Giftmap),133,FALSE,###  New Packages,link,2019-11-25
+ [ggtailwind: Package for applying Tailwind CSS default colours to ggplot2 visualizations](https://github.com/willcanniford/ggtailwind),136,FALSE,###  New Packages,link,2019-11-25
+ [ttdo 0.0.4: Extension](http://dirk.eddelbuettel.com/blog/2019/11/18#ttdo_0.0.4),82,FALSE,## Updated Packages,link,2019-11-25
+ [skimr 2.0: Compact and Flexible Summaries of Data](https://cran.r-project.org/web/packages/skimr/index.html),111,FALSE,## Updated Packages,link,2019-11-25
+ [digest 0.6.23: More sha1 refinements](http://dirk.eddelbuettel.com/blog/2019/11/23#digest_0.6.23),100,FALSE,## Updated Packages,link,2019-11-25
+ [boxr 0.3.5: Interface to the Box file-service](https://r-box.github.io/boxr),79,FALSE,## Updated Packages,link,2019-11-25
+ [Introduction au package {golem} (in French)](https://www.youtube.com/watch?v=6qI4NzxlAFU),92,FALSE,###  Videos and Podcasts,link,2019-11-25
+ [进化树和基因组结构](https://guangchuangyu.github.io/2019/11/geom-motif/),66,FALSE,### R Internationally,link,2019-11-25
+ [拼图？我掐指一算，发现事情没那么简单！](https://guangchuangyu.github.io/2019/11/xlim2-ylim2/),77,FALSE,### R Internationally,link,2019-11-25
+ [cowplot是旧爱，patchwork乃新欢](https://guangchuangyu.github.io/2019/11/patchwork/),79,FALSE,### R Internationally,link,2019-11-25
+ [#30DayMapChallenge: 30 days building maps (3) - Earth is spherical](https://statnmap.com/2019-11-22-30daymapchallenge-building-maps-3-earth-is-sphere/),154,FALSE,###  Tutorials,link,2019-11-25
![#30DayMapChallenge: 30 days building maps (3) - Earth is spherical](https://raw.githubusercontent.com/rweekly/image/master/2019-11-25/2019-11-22-30daymapchallenge-building-maps-3-earth-is-sphere_header.jpg),208,FALSE,###  Tutorials,image,2019-11-25
+ [Rammstein vs. Lacrimosa](https://eliocamp.github.io/codigo-r/2019/11/rammstein-vs-lacrimosa/),96,FALSE,###  Tutorials,link,2019-11-25
+ [Galton's board all askew](https://xianblog.wordpress.com/2019/11/19/galtons-board-all-askew/),96,FALSE,###  Tutorials,link,2019-11-25
+ [Can I do that? Inspiration from Flowing Data](https://austinwehrwein.com/data-visualization/salaries/),105,FALSE,###  Tutorials,link,2019-11-25
+ [step_shadow_missing - implementing a custom {recipes} step to account for missing data patterns](https://konradsemsch.netlify.com/2019/11/step-shadow-missing-implementing-a-custom-recipes-step-to-account-for-missing-data-patterns/),234,FALSE,###  Tutorials,link,2019-11-25
