value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2016-8-1
layout: post,12,FALSE,NA,NA,unid,2016-8-1
title: Issue 10,15,FALSE,NA,NA,unid,2016-8-1
description: Weekly News in R Community.,40,FALSE,NA,NA,unid,2016-8-1
---,3,FALSE,NA,NA,unid,2016-8-1
Hello and welcome to the new issue of **R Weekly**!,51,FALSE,NA,NA,unid,2016-8-1
*Digested by R Weekly Members*,30,FALSE,NA,## Highlight,unid,2016-8-1
+ [ggplot2 Extensions Gallery](http://www.ggplot2-exts.org/) - A list of ggplot2 extensions.,92,FALSE,NA,## Highlight,link,2016-8-1
+ [rcrossref](https://github.com/ropensci/rcrossref/pull/114) - RStudio Addin for Crossref citations.,101,FALSE,NA,## Highlight,link,2016-8-1
+ [rearrange() your correlations with corrr](https://drsimonj.svbtle.com/rearrange-your-correlations-with-corrr),112,FALSE,NA,#### Tutorials,link,2016-8-1
![rearrange() your correlations with corrr](https://svbtleusercontent.com/ryxesiaipuic5g_small.png),99,FALSE,NA,#### Tutorials,image,2016-8-1
+ [A transformable markup document format](https://anhinton.github.io/report-transformableDocuments/report.html),112,FALSE,NA,#### Tutorials,link,2016-8-1
+ [Data Science Competitions 101: Anatomy and Approach](https://techandmortals.wordpress.com/2016/07/27/data-science-competitions-101-anatomy-and-approach/),156,FALSE,NA,#### Tutorials,link,2016-8-1
+ [Confidence vs. Credibility Intervals (2014)](http://freakonometrics.hypotheses.org/18117),92,FALSE,NA,#### Tutorials,link,2016-8-1
+ [R and openMP: boosting compiled code on multi-core cpu-s](http://www.parallelr.com/r-and-openmp-boosting-compiled-code-on-multi-core-cpu-s/),143,FALSE,NA,#### Tutorials,link,2016-8-1
+ [An Introduction to the 'DOM' Package](https://www.stat.auckland.ac.nz/~paul/Reports/DOM/Intro/DOM-Intro.html),112,FALSE,NA,#### Tutorials,link,2016-8-1
+ [Use quick formula functions in purrr::map](https://rud.is/b/2016/07/26/use-quick-formula-functions-in-purrrmap-base-vs-tidtyverse-idiom-comparisonsexamples/),160,FALSE,NA,#### Tutorials,link,2016-8-1
+ [Start here to learn R!](http://r-exercises.com/2016/07/22/start-here-to-learn-r/),84,FALSE,NA,#### Tutorials,link,2016-8-1
+ [Ooms Magical Polyglot World](https://timelyportfolio.blogspot.com/2016/07/ooms-magical-polyglot-world.html),110,FALSE,NA,#### Tutorials,link,2016-8-1
+ [Read a lot of datasets at once with R](http://www.brodrigues.co/blog/2016-07-26-read-a-lot-of-datasets-at-once-with-r/),122,FALSE,NA,#### Tutorials,link,2016-8-1
+ [Cluster analysis in R: determine the optimal number of clusters](https://stackoverflow.com/questions/15376075/cluster-analysis-in-r-determine-the-optimal-number-of-clusters),176,FALSE,NA,#### Tutorials,link,2016-8-1
+ [RcppHoney Introduction](http://gallery.rcpp.org//articles/rcpp-honey/),73,FALSE,NA,#### Tutorials,link,2016-8-1
+ [Economy and dynamic modelling: Haavelmo's approach](https://memosisland.blogspot.sg/2016/07/economy-and-dynamic-modelling-haavelmos.html),140,FALSE,NA,#### Tutorials,link,2016-8-1
+ [Image recognition in R using convolutional neural networks with the MXNet package](https://firsttimeprogrammer.blogspot.sg/2016/07/image-recognition-in-r-using.html),168,FALSE,NA,#### Tutorials,link,2016-8-1
+ [Using 2D Contour Plots within ggplot2 to Visualize Relationships between Three Variables](https://www.r-statistics.com/2016/07/using-2d-contour-plots-within-ggplot2-to-visualize-relationships-between-three-variables/),220,FALSE,NA,#### Tutorials,link,2016-8-1
+ [StatET IDE for R](https://matloff.wordpress.com/2016/07/22/statet-ide-for-r/),80,FALSE,NA,#### Tutorials,link,2016-8-1
+ [Mapping Twitter Followers in R](https://lucaspuente.github.io/notes/2016/04/05/Mapping-Twitter-Followers),108,FALSE,NA,#### R in the Real World,link,2016-8-1
![Mapping Twitter Followers in R](https://cdn.rawgit.com/LucasPuente/lucaspuente.github.io/master/img/Twitter_Maps.gif),119,FALSE,NA,#### R in the Real World,image,2016-8-1
+ [How Clinton’s and Trump’s convention speeches compared to those of their predecessors](http://www.economist.com/blogs/graphicdetail/2016/07/daily-chart-19),158,FALSE,NA,#### R in the Real World,link,2016-8-1
![How Clinton’s and Trump’s convention speeches compared to those of their predecessors](https://cdn.static-economist.com/sites/default/files/imagecache/original-size/images/2016/07/blogs/graphic-detail/20160730_woc911_4.png),225,FALSE,NA,#### R in the Real World,image,2016-8-1
+ [Analyzing the US election using Twitter and Meta-Data in R](https://behaviouralthinking.com/2016/07/29/analyzing-the-us-election-using-twitter-and-meta-data-in-r/),166,FALSE,NA,#### R in the Real World,link,2016-8-1
