value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2016-8-15
layout: post,12,FALSE,NA,NA,unid,2016-8-15
title: Issue 12,15,FALSE,NA,NA,unid,2016-8-15
description: Weekly News in R Community.,40,FALSE,NA,NA,unid,2016-8-15
---,3,FALSE,NA,NA,unid,2016-8-15
Hello and welcome to the new issue of **R Weekly**!,51,FALSE,NA,NA,unid,2016-8-15
*Digested by R Weekly Members*,30,FALSE,NA,## Highlight,unid,2016-8-15
+ [prettydoc](http://yixuan.cos.name/prettydoc/) - Creating pretty documents with the prettydoc package.,104,FALSE,NA,## Highlight,link,2016-8-15
+ [giphyr](https://github.com/haozhu233/giphyr) - A R package for giphy API.,76,FALSE,NA,## Highlight,link,2016-8-15
+ [Text analysis of Trump’s tweets confirms he writes only the (angrier) Android half](http://varianceexplained.org/r/trump-tweets/),132,FALSE,NA,## Highlight,link,2016-8-15
+ [GitHub-style waffle plots in R](https://mvuorre.github.io/post/2016/2016-03-24-github-waffle-plot/),102,FALSE,NA,## Highlight,link,2016-8-15
+ [Building a ggplot2 Step by Step](https://matthewdharris.com/2016/08/12/ggplot2-step-by-step/),96,FALSE,NA,#### Tutorials,link,2016-8-15
![Building a ggplot2 Step by Step](https://matthewdharriscom.files.wordpress.com/2016/08/13.png?w=528&h=264),108,FALSE,NA,#### Tutorials,image,2016-8-15
+ [Handling required and missing R packages in Microsoft R Services](https://tomaztsql.wordpress.com/2016/08/11/handling-required-and-missing-r-packages-in-microsoft-r-services/),178,FALSE,NA,#### Tutorials,link,2016-8-15
+ [GitHub-style waffle plots in R](https://mvuorre.github.io/post/2016/2016-03-24-github-waffle-plot/),102,FALSE,NA,#### Tutorials,link,2016-8-15
+ [Plotting background data for groups with ggplot2](https://drsimonj.svbtle.com/plotting-background-data-for-groups-with-ggplot2),130,FALSE,NA,#### Tutorials,link,2016-8-15
![Plotting background data for groups with ggplot2](https://svbtleusercontent.com/ofzisqe5egsi2w_small.png),107,FALSE,NA,#### Tutorials,image,2016-8-15
+ [R Packages for Data Access](http://blog.revolutionanalytics.com/2016/08/r-packages-data-access.html),103,FALSE,NA,#### Tutorials,link,2016-8-15
+ [Google Analytics makes Demo Account available to all](http://www.analyticsforfun.com/2016/08/google-analytics-makes-demo-account.html),137,FALSE,NA,#### Tutorials,link,2016-8-15
+ [New feature: Dropdown menus in Plotly and R](http://moderndata.plot.ly/new-feature-dropdown-menus-in-plotly-and-r/),118,FALSE,NA,#### Tutorials,link,2016-8-15
+ [R Posting Multiple Answers to Google Forms](https://data-steve.github.io/post-multiple-answers-to-google-forms/),115,FALSE,NA,#### Tutorials,link,2016-8-15
+ [Deep Learning Part 1: Comparison of Symbolic Deep Learning Frameworks](http://blog.revolutionanalytics.com/2016/08/deep-learning-part-1.html),144,FALSE,NA,#### Tutorials,link,2016-8-15
+ [Network visualization – part 5: Cytoscape (an update) – RCy3](http://www.vesnam.com/Rblog/viznets5/),103,FALSE,NA,#### Tutorials,link,2016-8-15
+ [The magrittr monad](http://www.win-vector.com/blog/2016/08/the-magrittr-monad/),82,FALSE,NA,#### Tutorials,link,2016-8-15
+ [Creating Annotated Data Frames from GEO with the GEOquery package](https://rjbioinformatics.com/2016/08/05/creating-annotated-data-frames-from-geo-with-the-geoquery-package/),177,FALSE,NA,#### Tutorials,link,2016-8-15
+ [Project package libraries and reproducibility](http://www.mango-solutions.com/wp/2016/08/project-package-libraries-and-reproducibility/),139,FALSE,NA,#### Tutorials,link,2016-8-15
+ [Consumer Credit Trends](http://lenkiefer.com/2016/08/09/trends-in-credit),76,FALSE,NA,#### R in the Real World,link,2016-8-15
![Consumer Credit Trends](https://cdn.rawgit.com/rweekly/image/master/2016-08-15/debt.gif),90,FALSE,NA,#### R in the Real World,image,2016-8-15
+ [Building a large database of MMA fight results IV: turning tables into a database with R and SQL](http://www.fightprior.com/2016/08/11/Building_mySQL_fight_db/),163,FALSE,NA,#### R in the Real World,link,2016-8-15
+ [Text analysis of Trump’s tweets confirms he writes only the (angrier) Android half](http://varianceexplained.org/r/trump-tweets/),132,FALSE,NA,#### R in the Real World,link,2016-8-15
![Trump’s tweets](https://cdn.rawgit.com/rweekly/image/master/2016-08-15/trump.svg),83,FALSE,NA,#### R in the Real World,image,2016-8-15
+ [Counting [U.S.] Expatriation with R (a.k.a. a Decade of Desertion)](https://rud.is/b/2016/08/08/counting-u-s-expatriation-with-r-a-k-a-a-decade-of-desertion/),161,FALSE,NA,#### R in the Real World,link,2016-8-15
![Counting [U.S.] Expatriation with R](https://rud.is/b/wp-content/uploads/2016/08/RStudio.png),95,FALSE,NA,#### R in the Real World,image,2016-8-15
+ [In case you missed it: July 2016 roundup](http://blog.revolutionanalytics.com/2016/08/in-case-you-missed-it-july-2016-roundup.html),134,FALSE,NA,#### R in the Real World,link,2016-8-15
+ [Yet the Worst Olympic Chart](http://danielmarcelino.github.io/blog/2016/yet-the-worst-olympic-chart.html),108,FALSE,NA,#### R in the Real World,link,2016-8-15
![Yet the Worst Olympic Chart](https://danielmarcelino.github.io/img/08-06-2016-yet-the-worst-olympic-chart/NBC-olympic-medals.PNG),131,FALSE,NA,#### R in the Real World,image,2016-8-15
