value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2016-7-25
layout: post,12,FALSE,NA,NA,unid,2016-7-25
title: Issue 9,14,FALSE,NA,NA,unid,2016-7-25
description: Weekly News in R Community.,40,FALSE,NA,NA,unid,2016-7-25
---,3,FALSE,NA,NA,unid,2016-7-25
Hello and welcome to the new issue of **R Weekly**!,51,FALSE,NA,NA,unid,2016-7-25
*Digested by R Weekly Members*,30,FALSE,NA,## Highlight,unid,2016-7-25
+ [Improving R animated GIFs with tweenr](http://lenkiefer.com/2016/05/29/improving-R-animated-gifs-with-tweenr),112,FALSE,NA,## Highlight,link,2016-7-25
"+ [NSSD Episode 19: Divide by n-1, or n-2, or Whatever](https://soundcloud.com/nssd-podcast/episode-19-divide-by-n-1-or-n-2-or-whatever) - About statistical software in fMRI analyses, and the differences between software testing differences in proportions.",256,FALSE,NA,## Highlight,link,2016-7-25
+ [Top 20 R Machine Learning and Data Science packages](http://www.kdnuggets.com/2015/06/top-20-r-machine-learning-packages.html),129,FALSE,NA,#### Tutorials,link,2016-7-25
+ [Improving R animated GIFs with tweenr](http://lenkiefer.com/2016/05/29/improving-R-animated-gifs-with-tweenr),112,FALSE,NA,#### Tutorials,link,2016-7-25
![Improving R animated GIFs with tweenr](https://cdn.rawgit.com/rweekly/image/master/2016-07-25/ex4_tween.gif),110,FALSE,NA,#### Tutorials,image,2016-7-25
+ [Doing #Maps with #rstats!](http://www.r-graph-gallery.com/portfolio/maps/),77,FALSE,NA,#### Tutorials,link,2016-7-25
![map with R](https://pbs.twimg.com/media/Cn9dnvQWcAEKen-.jpg),62,FALSE,NA,#### Tutorials,image,2016-7-25
+ [RPy2: Combining the Power of R + Python for Data Science](http://blog.yhat.com/posts/rpy2-combing-the-power-of-r-and-python.html),132,FALSE,NA,#### Tutorials,link,2016-7-25
+ [A budget of classifier evaluation measures](http://www.win-vector.com/blog/2016/07/a-budget-of-classifier-evaluation-measures/),130,FALSE,NA,#### Tutorials,link,2016-7-25
+ [Bulk Downloading Adobe Analytics Data](http://randyzwitch.com/rsitecatalyst-bulk-download-version-1-4-9-release-notes/),122,FALSE,NA,#### Tutorials,link,2016-7-25
+ [Eclipse – an alternative to RStudio – part 1](http://datascienceplus.com/eclipse-an-alternative-to-rstudio-part-1/),118,FALSE,NA,#### Tutorials,link,2016-7-25
+ [Performing Principal Components Regression in R](http://www.milanor.net/blog/performing-principal-components-regression-pcr-in-r/),133,FALSE,NA,#### Tutorials,link,2016-7-25
+ [Bayesian Bootstrap: The Movie + Some Highlights from UseR! 2016](http://www.sumsar.net/blog/2016/07/bayesian-bootstrap-the-movie/),133,FALSE,NA,#### Tutorials,link,2016-7-25
"+ [Networks, mazes, and R (Rmaze)](http://www.vesnam.com/Rblog/mazes-graphs-and-r/)",83,FALSE,NA,#### Tutorials,link,2016-7-25
"![Networks, mazes, and R (Rmaze)](https://cdn.rawgit.com/rweekly/image/master/2016-07-25/maze.jpeg)",99,FALSE,NA,#### Tutorials,image,2016-7-25
+ [Building OpenBLAS-based Rblas.dll for 64-bit R for Windows: R ≥ 3.3.0](http://www.avrahamadler.com/r-tips/build-openblas-for-windows-r64/),141,FALSE,NA,#### Tutorials,link,2016-7-25
+ [Principal Component Analysis Cluster Plots with Plotly](http://moderndata.plot.ly/principal-component-analysis-cluster-plotly/),130,FALSE,NA,#### Tutorials,link,2016-7-25
+ [Installing the additional R packages in Oracle Big Data Lite VM 4.5.0](http://www.nodalpoint.com/installing-additional-r-packages-oracle-big-data-lite-vm-4-5-0/),164,FALSE,NA,#### Tutorials,link,2016-7-25
+ [Spatio-Temporal Point Pattern Analysis in ArcGIS with R](https://r-video-tutorial.blogspot.com/2016/07/spatio-temporal-point-pattern-analysis.html),150,FALSE,NA,#### Tutorials,link,2016-7-25
+ [Data frame columns as arguments to dplyr functions](http://www.brodrigues.co/blog/2016-07-18-data-frame-columns-as-arguments-to-dplyr-functions/),148,FALSE,NA,#### Tutorials,link,2016-7-25
+ [Populating data frame cells with more than one value](https://ryouready.wordpress.com/2016/07/18/populating-data-frame-cells-with-more-than-one-value/),154,FALSE,NA,#### Tutorials,link,2016-7-25
+ [The trick to understanding NAs (missing values) in R](http://blog.revolutionanalytics.com/2016/07/understanding-na-in-r.html),128,FALSE,NA,#### Tutorials,link,2016-7-25
+ [Building R-devel on RedHat Linux 6](http://pj.freefaculty.org/blog/?p=315),77,FALSE,NA,#### Tutorials,link,2016-7-25
+ [BioC 2016 Conference Overview and Few Ways of Downloading TCGA Data](http://r-addict.com/2016/07/22/BioC2016-RTCGA.html),123,FALSE,NA,#### Tutorials,link,2016-7-25
+ [Calculating Memory Requirements](https://danielmarcelino.github.io/blog/2016/calculating-memory-requirements.html),117,FALSE,NA,#### Tutorials,link,2016-7-25
"+ [SAS, R, or Python Survey 2016: Which Tool Do Analytics Pros Prefer?](http://www.burtchworks.com/2016/07/13/sas-r-python-survey-2016-tool-analytics-pros-prefer/)",163,FALSE,NA,#### R in the Real World,link,2016-7-25
+ [Experiences in Using R and Python in Production](http://www.smartly.io/blog/experiences-in-using-r-and-python-in-production),127,FALSE,NA,#### R in the Real World,link,2016-7-25
+ [Dance of the Bayes factors](https://daniellakens.blogspot.com/2016/07/dance-of-bayes-factors.html),101,FALSE,NA,#### R in the Real World,link,2016-7-25
![Dance of the Bayes factors](https://4.bp.blogspot.com/-4OeUdZnjdHk/V4yQvz6EfcI/AAAAAAAADVQ/4IF6Vh6zAActBpKSDK5ZuiXIl6CEls3zQCLcB/s400/BFdance.png),148,FALSE,NA,#### R in the Real World,image,2016-7-25
<!--Return of the NEISS Data](http://juliasilge.com/blog/Return-of-NEISS/) - About accidents reported to emergency rooms in the U.S. that are related to consumer products.-->,174,FALSE,NA,#### R in the Real World,unid,2016-7-25
![Return of the NEISS Data](https://cdn.rawgit.com/rweekly/image/master/2016-07-25/NEISSshiny.png),98,FALSE,NA,#### R in the Real World,image,2016-7-25
+ [Does sentiment analysis work? A tidy analysis of Yelp reviews](http://varianceexplained.org/r/yelp-sentiment/),113,FALSE,NA,#### R in the Real World,link,2016-7-25
