value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2016-7-11
layout: post,12,FALSE,NA,NA,unid,2016-7-11
title: Issue 7,14,FALSE,NA,NA,unid,2016-7-11
description: Weekly News in R Community.,40,FALSE,NA,NA,unid,2016-7-11
---,3,FALSE,NA,NA,unid,2016-7-11
Hello and welcome to the new issue of **R Weekly**!,51,FALSE,NA,NA,unid,2016-7-11
*Digested by R Weekly Members*,30,FALSE,NA,## Highlight,unid,2016-7-11
+ [A Simple Prediction Web Service Using the New fiery Package](http://rud.is/b/2016/07/05/a-simple-prediction-web-service-using-the-new-firery-package/),153,FALSE,NA,## Highlight,link,2016-7-11
+ [Starting Out with R and Shiny by Oliver Keyes](https://ironholds.org/projects/r_shiny/),90,FALSE,NA,## Highlight,link,2016-7-11
+ [NSSD Podcast Episode 18: Back on Planet Earth](https://soundcloud.com/nssd-podcast/episode-18-back-on-planet-earth) - With highlights from useR! 2016 conference.,164,FALSE,NA,## Highlight,link,2016-7-11
+ [Resume & Interview Tips For R Programmers](http://www.programmingr.com/content/resume-interview-tips-r-programmers/),119,FALSE,NA,#### Tutorials,link,2016-7-11
+ [useR! 2016 Tutorials: Part 2](http://blog.revolutionanalytics.com/2016/07/user-2016-tutorials-part-2-.html),110,FALSE,NA,#### Tutorials,link,2016-7-11
"+ [Bad Coder, Bad Coder!](https://matloff.wordpress.com/2016/07/07/bad-coder-bad-coder/) - Careful thought, rather than an obsession with rules, is your ticket to good, clear and efficient code.",194,FALSE,NA,#### Tutorials,link,2016-7-11
+ [Best practices for logging computational systems in R and Python](https://cartesianfaith.com/2016/07/07/best-practices-for-logging-computational-systems-in-r-and-python/),173,FALSE,NA,#### Tutorials,link,2016-7-11
+ [Express dplyr Part II](https://rollingyours.wordpress.com/2016/07/07/express-dplyr-part-ii/),95,FALSE,NA,#### Tutorials,link,2016-7-11
+ [Implementing Apriori Algorithm in R](http://datascienceplus.com/implementing-apriori-algorithm-in-r/),104,FALSE,NA,#### Tutorials,link,2016-7-11
+ [The ggthemr package – Theme and colour your ggplot figures](http://www.shanelynn.ie/themes-and-colours-for-r-ggplots-with-ggthemr/),134,FALSE,NA,#### Tutorials,link,2016-7-11
![The ggthemr package – Theme and colour your ggplot figures](https://cdn.rawgit.com/rweekly/image/master/2016-07-11/solarized_theme_ggthemr.png),145,FALSE,NA,#### Tutorials,image,2016-7-11
+ [Fast and Big Linear Model Fitting with bigmemory and RcppEigen](http://casualinference.org/2016/07/07/big_fast_lm/),118,FALSE,NA,#### Tutorials,link,2016-7-11
"+ [Playing Around with Methods Overloading, C-language and Operators (1)](http://www.quantide.com/website/playing-around-methods-overloading-c-language-operators/)",163,FALSE,NA,#### Tutorials,link,2016-7-11
+ [A Simple Prediction Web Service Using the New fiery Package](http://rud.is/b/2016/07/05/a-simple-prediction-web-service-using-the-new-firery-package/),153,FALSE,NA,#### Tutorials,link,2016-7-11
