value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2017-05-29
layout: post,12,FALSE,NA,unid,2017-05-29
"title: R Weekly 2017-22 Unconf 2017, RFinance, subplots & ggplot2",65,FALSE,NA,unid,2017-05-29
description: Weekly News in the R Community.,44,FALSE,NA,unid,2017-05-29
---,3,FALSE,NA,unid,2017-05-29
+ [R OpenSci Unconference 2017 Projects](https://ropenscilabs.github.io/runconf17-projects/),92,FALSE,###  Highlight,link,2017-05-29
+ [Getting Started With Blogdown](https://www.znmeb.mobi/2017/05/12/getting-started-with-blogdown/),99,FALSE,###  Highlight,link,2017-05-29
+ [Arranging subplots with ggplot2](https://ikashnitsky.github.io/2017/align-six-maps/),87,FALSE,###  Highlight,link,2017-05-29
"+ [Slides, videos, and tweets from the 2017 New York R Conference](http://varianceexplained.org/r/nyr-conference/)",114,FALSE,###  R in Organizations,link,2017-05-29
+ [RFinance 2017 videos](https://channel9.msdn.com/events/RFinance/RFinance-2017),81,FALSE,###  R in Organizations,link,2017-05-29
+ [How Airbnb Democratizes Data Science With Data University](https://medium.com/airbnb-engineering/how-airbnb-democratizes-data-science-with-data-university-3eccc71e073a?source=rss----53c7c27702d5--data_science),212,FALSE,###  R in Organizations,link,2017-05-29
![How Airbnb Democratizes Data Science With Data University](https://raw.githubusercontent.com/rweekly/image/master/2017-03/airbnb-data.png),140,FALSE,###  R in Organizations,image,2017-05-29
+ [R OpenSci Unconference 2017 Projects](https://ropenscilabs.github.io/runconf17-projects/),92,FALSE,###  R OpenSci Unconference 2017,link,2017-05-29
+ [ROpenSci Unconf 2017](http://kbroman.org/blog/2017/05/27/ropensci-unconf-2017/),82,FALSE,###  R OpenSci Unconference 2017,link,2017-05-29
+ [L.A. Unconf-idential : a.k.a. an rOpenSci #runconf17 Retrospective](https://rud.is/b/2017/05/28/l-a-unconf-idential-a-k-a-an-ropensci-runconf17-retrospective/),162,FALSE,###  R OpenSci Unconference 2017,link,2017-05-29
+ [My Experience at the 2017 rOpenSci Unconference](https://jasdumas.github.io/2017-05-28-runconf17-experience/),112,FALSE,###  R OpenSci Unconference 2017,link,2017-05-29
+ [R security practices](https://ropenscilabs.github.io/r-security-practices/index.html),88,FALSE,###  R OpenSci Unconference 2017,link,2017-05-29
+ [On Facebook News in the Philippines: Using topic modeling to find trends in online news coverage](http://www.tjpalanca.com/2017/03/facebook-news-topic-modeling.html),168,FALSE,###  R in the Real World,link,2017-05-29
+ [Regular Expression & Treemaps to Visualize Emergency Department Visits](https://incidental-ideas.org/2017/05/25/regular-expression-treemaps-to-visualize-emergency-department-visits/),185,FALSE,###  R in the Real World,link,2017-05-29
+ [Housing market recap](http://lenkiefer.github.io/2017/05/25/week-in-review),78,FALSE,###  R in the Real World,link,2017-05-29
+ [Growth of DataFest over the years ](https://rviews.rstudio.com/2017/05/24/growth-of-datafest-over-the-years/),112,FALSE,###  R in the Real World,link,2017-05-29
+ [R vs Python: Different similarities and similar differences](https://gigadom.wordpress.com/2017/05/22/r-vs-python-different-similarities-and-similar-differences/),165,FALSE,###  Insights,link,2017-05-29
+ [R Memes For Statistical Fiends](https://www.facebook.com/Rmemes0),68,FALSE,###  Insights,link,2017-05-29
+ [Toward tidy analysis](https://simplystatistics.org/2017/05/24/toward-tidy-analysis/),87,FALSE,###  Insights,link,2017-05-29
+ [Episode 39 - We Listen to Our Data Team](https://soundcloud.com/nssd-podcast/episode-39-we-listen-to-our-data-team),118,FALSE,###  Videos and Podcasts,link,2017-05-29
+ [RFinance 2017 videos](https://channel9.msdn.com/events/RFinance/RFinance-2017),81,FALSE,###  Videos and Podcasts,link,2017-05-29
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2017-05-29
"+ [lemon](https://github.com/stefanedwards/lemon) - Functions for working with legends and axis lines of 'ggplot2', facets that repeat axis lines on all panels, and some 'knitr' extensions.",189,FALSE,###  New Packages,link,2017-05-29
+ [spacyr](http://github.com/kbenoit/spacyr) - R Wrapper to the spaCy NLP Library,81,FALSE,###  New Packages,link,2017-05-29
+ [geofacet](https://github.com/hafen/geofacet) -,49,FALSE,###  New Packages,link,2017-05-29
R package for geographical faceting with ggplot2,48,FALSE,###  New Packages,unid,2017-05-29
![geofacet](https://raw.githubusercontent.com/rweekly/image/master/2017-03/us_map.png),86,FALSE,###  New Packages,image,2017-05-29
+ [strict](https://github.com/hadley/strict) - This packages tweaks the operation of base R code to make things a little stricter.,130,FALSE,###  New Packages,link,2017-05-29
+ [future 1.5.0](http://cran.r-project.org/package=future) - Unified Parallel and Distributed Processing in R for Everyone ... and everywhere,141,FALSE,###  Package Releases,link,2017-05-29
+ [rtdists 0.7-2](http://singmann.org/rtdists-0-7-2-response-time-distributions-now-with-rcpp-and-faster/) - response time distributions now with Rcpp and faster,161,FALSE,###  Package Releases,link,2017-05-29
+ [Rcpp 0.12.11](http://dirk.eddelbuettel.com/blog/2017/05/23#rcpp_0.12.11) - Loads of goodies,94,FALSE,###  Package Releases,link,2017-05-29
+ [RQGIS 1.0.0](https://jannesm.wordpress.com/2017/05/26/rqgis-release-1-0-0/) - An interface between R and QGIS.,113,FALSE,###  Package Releases,link,2017-05-29
+ [RStudio Connect 1.5.0](https://blog.rstudio.org/2017/05/23/rstudio-connect-1-5-0-introducing-tags/)  – Introducing Tags!,123,FALSE,###  Package Releases,link,2017-05-29
+ [Microsoft R Open 3.4.0 now available](http://blog.revolutionanalytics.com/2017/05/microsoft-r-open-340-now-available.html),125,FALSE,###  Package Releases,link,2017-05-29
"+ [S’il te plaît, dessine-moi une carte (avec R)](http://www.thinkr.fr/sil-te-plait-dessine-moi-carte-r/) — [English - autotranslate](http://translate.google.com/translate?hl=&sl=fr&tl=en&u=http://www.thinkr.fr/sil-te-plait-dessine-moi-carte-r/)",245,FALSE,###  R Internationally,link,2017-05-29
+ [Getting Started With Blogdown](https://www.znmeb.mobi/2017/05/12/getting-started-with-blogdown/),99,FALSE,###  Tutorials,link,2017-05-29
"+ [Using R: When using do in dplyr, don't forget the dot](https://martinsbioblogg.wordpress.com/2017/05/21/using-r-when-using-do-in-dplyr-dont-forget-the-dot/)",159,FALSE,###  Tutorials,link,2017-05-29
+ [A Very Palette-able  Post](https://rud.is/b/2017/05/21/a-very-pallete-able-post/),84,FALSE,###  Tutorials,link,2017-05-29
+ [Arranging subplots with ggplot2](https://ikashnitsky.github.io/2017/align-six-maps/),87,FALSE,###  Tutorials,link,2017-05-29
![Arranging subplots with ggplot2](https://raw.githubusercontent.com/rweekly/image/master/2017-03/s-fig-01-1.png),113,FALSE,###  Tutorials,image,2017-05-29
