value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2018-10-29
"title: R Weekly 2018-44 Maps, Images",36,FALSE,NA,unid,2018-10-29
description: Weekly News in the R Community.,44,FALSE,NA,unid,2018-10-29
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,unid,2018-10-29
---,3,FALSE,NA,unid,2018-10-29
"+ [Drawing beautiful maps programmatically with R, sf and ggplot2](https://www.r-spatial.org//r/2018/10/25/ggplot2-sf.html)",123,FALSE,###  Highlight,link,2018-10-29
+ [Community Call - Working with images in R](https://ropensci.org/blog/2018/10/24/commcall-nov2018/),101,FALSE,###  Highlight,link,2018-10-29
+ [Searching for R Packages](https://rviews.rstudio.com/2018/10/22/searching-for-r-packages/),93,FALSE,### Insights,link,2018-10-29
+ [CRAN's New Missing Data Task View](https://rviews.rstudio.com/2018/10/26/cran-s-new-missing-values-task-view/),113,FALSE,### Insights,link,2018-10-29
+ [RConsortium — Building an R Certification](https://rtask.thinkr.fr/blog/rconsortium-building-an-r-certification/),116,FALSE,### Insights,link,2018-10-29
+ [The tweenr is all grown up](https://www.data-imaginist.com/2018/the-tweenr-is-all-grown-up/),95,FALSE,### Insights,link,2018-10-29
+ [RStudio 1.2 Preview: Plumber Integration](https://blog.rstudio.com/2018/10/23/rstudio-1-2-preview-plumber-integration/),122,FALSE,### Insights,link,2018-10-29
![RStudio 1.2 Preview: Plumber Integration](https://raw.githubusercontent.com/rweekly/image/master/2018/swagger_overview.png),125,FALSE,### Insights,image,2018-10-29
"+ [Mapping the center of gravity for the NFL, NBA, and MLB champions](https://www.chadbixby.com/2018/09/06/2018-09-06-the-nfl-nba-mlb-s-center-of-gravity/)",155,FALSE,### R in the Real World,link,2018-10-29
+ [Steps for writing a Twitter summary conference blog post](https://lcolladotor.github.io/2018/10/23/steps-for-writing-a-twitter-summary-conference-blog-post/),160,FALSE,### R in the Real World,link,2018-10-29
+ [Tidyverse developer day 2019](https://github.com/tidyverse/dev-day-2019),75,FALSE,###  R in Organizations,link,2018-10-29
+ [Summer Intern Projects](https://blog.rstudio.com/2018/10/22/summer-intern-projects/),87,FALSE,###  R in Organizations,link,2018-10-29
+ [Community Call - Working with images in R](https://ropensci.org/blog/2018/10/24/commcall-nov2018/),101,FALSE,###  R in Organizations,link,2018-10-29
"+ [AI, Machine Learning and Data Science Roundup: October 2018](https://blog.revolutionanalytics.com/2018/10/ai-roundup-oct-2018.html)",134,FALSE,###  Resources,link,2018-10-29
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2018-10-29
**GitHub or Bitbucket**,23,FALSE,###  New Packages,unid,2018-10-29
