value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2019-09-16
"title: R Weekly 2019-37 colors, TidyBlocks, texting",51,FALSE,NA,unid,2019-09-16
description: Weekly News in the R Community.,44,FALSE,NA,unid,2019-09-16
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,unid,2019-09-16
---,3,FALSE,NA,unid,2019-09-16
Release Date: 2019-09-16,24,FALSE,NA,unid,2019-09-16
"This week's release was curated by [Jonathan Carroll](https://twitter.com/carroll_jono), with help from the RWeekly team members and contributors.",146,FALSE,NA,unid,2019-09-16
+ [Built-in colour names in R](https://chichacha.netlify.com/2019/09/08/mysterious-colour-names-in-r/),102,FALSE,###  Highlight,link,2019-09-16
+ [TidyBlocks Framework](https://maya.rbind.io/post/2019/tidyblocks-framework/),79,FALSE,###  Highlight,link,2019-09-16
+ [Text yourself from #rstats](https://richpauloo.github.io/2019-09-11-Using-Twilio-to-text-myself-after-long-running-jobs/),124,FALSE,###  Highlight,link,2019-09-16
+ [Built-in colour names in R](https://chichacha.netlify.com/2019/09/08/mysterious-colour-names-in-r/),102,FALSE,### Insights,link,2019-09-16
![Built-in colour names in R](https://raw.githubusercontent.com/rweekly/image/master/2019-09-16/ggforceExperiment-2.png),120,FALSE,### Insights,image,2019-09-16
"+ [{pins}: Pin, Discover and Share Resources](https://blog.rstudio.com/2019/09/09/pin-discover-and-share-resources/)",116,FALSE,### Insights,link,2019-09-16
+ [R Community Explorer – R User Groups](https://www.r-consortium.org/blog/2019/09/09/r-community-explorer-r-user-groups),121,FALSE,### Insights,link,2019-09-16
+ [How R changed me as an analyst](https://nhsrcommunity.com/blog/how-r-changed-me-as-an-analyst/),98,FALSE,### Insights,link,2019-09-16
+ [R puzzle](https://xianblog.wordpress.com/2019/09/12/r-puzzle/),65,FALSE,### Insights,link,2019-09-16
+ [Introducing the minicss package for creating CSS styles and stylesheets in R](https://coolbutuseless.github.io/2019/09/11/introducing-the-minicss-package-for-creating-css-styles-and-stylesheets-in-r/),203,FALSE,### Insights,link,2019-09-16
+ [Implementing Gaussian Process in Python and R](https://zhuhao.org/post/gp_python_r/),87,FALSE,### Insights,link,2019-09-16
+ [September 2019 Democratic Debates Added to {ggchicklet}](https://rud.is/b/2019/09/14/september-2019-democratic-debates-added-to-ggchicklet/),143,FALSE,### Insights,link,2019-09-16
+ [Why Shiny?  + 6 Best Practices we learned after shipping dozens of Shiny Applications ](https://appsilon.com/why-you-should-use-r-shiny-for-enterprise-application-development/),179,FALSE,### Insights,link,2019-09-16
+ [{santoku} - a visual introduction](https://rpubs.com/dash2/santoku),70,FALSE,### Insights,link,2019-09-16
+ [Shiny app for tracking time](https://www.tychobra.com/posts/2019-09-04_meet_t3/),83,FALSE,### Insights,link,2019-09-16
"+ [#Excel spreadsheets vs Shiny, a feature comparison](https://appsilon.com/forget-about-excel-use-r-shiny-packages-instead/)",125,FALSE,### Insights,link,2019-09-16
+ [Comparing Auckland’s Population with Maps](https://david.frigge.nz/posts/2019-08-auckland/),94,FALSE,### Insights,link,2019-09-16
![Comparing Auckland’s Population with Maps](https://raw.githubusercontent.com/rweekly/image/master/2019-09-16/ggpretty-1.png),126,FALSE,### Insights,image,2019-09-16
+ [A tutorial for tidying UK Office for National Statistics data files for use in R](http://lesscrime.info/post/cleaning-ons-data/),131,FALSE,### Insights,link,2019-09-16
+ [{ggrapid}: Create neat & complete ggplot visualizations with as little code as possible](https://konradsemsch.netlify.com/2019/08/2019-08-29-ggrapid-create-neat-and-complete-ggplot-visualizations-with-as-little-code-as-possible),231,FALSE,### Insights,link,2019-09-16
"+ [{RecodeReorder}: RStudio addin for interactively renaming, collapsing and reordering factor levels](https://milosvilotic.netlify.com/post/recode-reorder-rstudio-addin/)",171,FALSE,### Insights,link,2019-09-16
+ [How tennis has changed over time](https://rafaelmenmell.netlify.com/2019/08/28/how-tennis-has-changed-over-time/),116,FALSE,### Insights,link,2019-09-16
+ [{Polished}: Add modern authentication to Shiny](https://www.tychobra.com/posts/2019_08_27_announcing_polished/),114,FALSE,### Insights,link,2019-09-16
+ [Changing the variable inside an R formula](https://statisticaloddsandends.wordpress.com/2019/08/24/changing-the-variable-inside-an-r-formula/),145,FALSE,### Insights,link,2019-09-16
"+ [Generating Oxford Comma triples, and sequenced BibTeX entries using the Tidyverse](https://www.shamindras.com/posts/2019-07-15-shrotriya2019tidyfunpt1/)",155,FALSE,### Insights,link,2019-09-16
+ [ggplot visualization of conditional inference trees](https://luisdva.github.io/rstats/plotting-recursive-partitioning-trees/),128,FALSE,### Insights,link,2019-09-16
+ [Can we use a neural network to generate R Shiny code? Let's find out!](https://appsilon.com/generate-shiny-code-with-rnn/),125,FALSE,### Insights,link,2019-09-16
+ [caret vs. tidymodels - comparing the old and new](https://konradsemsch.netlify.com/2019/08/caret-vs-tidymodels-comparing-the-old-and-new/),141,FALSE,### Insights,link,2019-09-16
+ [In search of the perfect partial dependence plot for Random Forests ](https://sethdobson.netlify.com/2019/08/08/in-search-of-the-perfect-partial-plot/),154,FALSE,### Insights,link,2019-09-16
+ [Quick exploration of dagitty and ggdag packages for using DAGs in causal analyses.](https://paoloeusebi.blog/2019/08/06/causal-inference-with-dags-in-r/),156,FALSE,### Insights,link,2019-09-16
+ [Bootstrapping lowess (not loess :) with the tidyverse](https://www.landonlehman.com/post/bootstrapping-lowess/),114,FALSE,### Insights,link,2019-09-16
+ [RSwitch 1.5.0 Release Now Also Corrals RStudio Server Connections](https://rud.is/b/2019/09/14/rswitch-1-5-0-release-now-also-corrals-rstudio-server-connections/),165,FALSE,### Insights,link,2019-09-16
"+ [Twitter ""Account Analysis"" in R](https://rud.is/b/2019/09/14/twitter-account-analysis-in-r/)",95,FALSE,### Insights,link,2019-09-16
"+ [Poisson point processes, mass shootings and clumping](http://freerangestats.info/blog/2019/09/07/mass-shootings-oz)",118,FALSE,### Insights,link,2019-09-16
+ [How to read an R help page](https://socviz.co/appendix.html#a-little-more-about-r),85,FALSE,### Insights,link,2019-09-16
![How to read an R help page](https://raw.githubusercontent.com/rweekly/image/master/2019-09-16/ch-09-read-a-help-page.png),123,FALSE,### Insights,image,2019-09-16
+ [Was Trump confused by rainbow color map?](https://eeecon.uibk.ac.at/~zeileis/news/dorian_rainbow/),101,FALSE,### R in the Real World,link,2019-09-16
![Was Trump confused by rainbow color map?](https://raw.githubusercontent.com/rweekly/image/master/2019-09-16/dorian-hclrainbow.png),132,FALSE,### R in the Real World,image,2019-09-16
+ [My data science job hunt!](https://mdneuzerling.com/post/my-data-science-job-hunt/),86,FALSE,### R in the Real World,link,2019-09-16
+ [The Repetitions Eliminator R Library “mmetrics”](https://engineering.linecorp.com/en/blog/the-repetitions-eliminator-r-library-mmetrics/),140,FALSE,###  R in Organizations,link,2019-09-16
+ [An opinionated selection of books](https://divingintogeneticsandgenomics.rbind.io/post/my-opinionated-selection-of-books-for-bioinformatics-data-science-curriculum/),168,FALSE,###  Resources,link,2019-09-16
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2019-09-16
**CRAN**,8,FALSE,###  New Packages,unid,2019-09-16
+ [{corporaexplorer 0.6.2}: A 'Shiny' App for Exploration of Text Collections](https://CRAN.R-project.org/package=corporaexplorer),130,FALSE,###  New Packages,link,2019-09-16
![{corporaexplorer 0.6.2}: A 'Shiny' App for Exploration of Text Collections](https://raw.githubusercontent.com/kgjerde/corporaexplorer/master/man/figures/readme_illustration.png),179,FALSE,###  New Packages,image,2019-09-16
+ [{rawr} 0.1.0: Retrieve Raw R Code from Popular Tutorials and Websites](https://cran.r-project.org/package=rawr),114,FALSE,###  New Packages,link,2019-09-16
+ [{readxlsb} 0.1.2: Read 'Excel' Binary (.xlsb) Workbooks](https://cran.r-project.org/package=readxlsb),104,FALSE,###  New Packages,link,2019-09-16
+ [{ttdo} 0.0.3: Extend 'tinytest' with 'diffobj'](https://cran.r-project.org/package=ttdo),91,FALSE,###  New Packages,link,2019-09-16
"**GitHub, GitLab, or Bitbucket**",32,FALSE,###  New Packages,unid,2019-09-16
+ [{minicss} 0.1.0: To programatically create CSS styles and style sheets from within R](https://github.com/coolbutuseless/minicss),131,FALSE,###  New Packages,link,2019-09-16
