value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2019-12-02
"title: R Weekly 2019-48 Javascript 4 Shiny, {wisegroup}, R in Africa",68,FALSE,NA,unid,2019-12-02
description: Weekly News in the R Community.,44,FALSE,NA,unid,2019-12-02
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,unid,2019-12-02
---,3,FALSE,NA,unid,2019-12-02
Release Date: 2019-12-02,24,FALSE,NA,unid,2019-12-02
"This week’s release was curated by [Eric Nantz](https://twitter.com/theRcast), with help from the RWeekly team members and contributors.",136,FALSE,NA,unid,2019-12-02
+ [JavaScript 4 Shiny - Field Notes](https://connect.thinkr.fr/js4shinyfieldnotes/),83,FALSE,###  Highlight,link,2019-12-02
+ [`{wisegroup}`: Never be burned by forgetting to `ungroup()` again](https://github.com/MilesMcBain/wisegroup),111,FALSE,###  Highlight,link,2019-12-02
+ [The state of R in Africa](https://rforwards-auto.github.io/blog/2019/11/15/the-state-of-r-in-africa/),104,FALSE,###  Highlight,link,2019-12-02
+ [The state of R in Africa](https://rforwards-auto.github.io/blog/2019/11/15/the-state-of-r-in-africa/),104,FALSE,### Insights,link,2019-12-02
![EPL2](https://raw.githubusercontent.com/rweekly/image/master/2019-12-02/africaR.png),86,FALSE,### Insights,image,2019-12-02
"+ [Visualizing the Premier League So Far, Part 2: Stats from Open Play and Set Pieces](https://ryo-n7.github.io/2019-11-28-visualize-EPL-part-2/)",145,FALSE,### R in the Real World,link,2019-12-02
![EPL2](https://raw.githubusercontent.com/rweekly/image/master/2019-12-02/xG_setpieceAT_top7_plot.png),102,FALSE,### R in the Real World,image,2019-12-02
"+ [AI, Machine Learning and Data Science Roundup: November 2019](https://blog.revolutionanalytics.com/2019/11/airoundup-november-2019.html)",139,FALSE,### R in the Real World,link,2019-12-02
+ [Getting started with Keras from R - the 2020 edition](https://blogs.rstudio.com/tensorflow/posts/2019-11-27-gettingstarted-2020/),132,FALSE,### R in the Real World,link,2019-12-02
+ [A pivotal change to Software Carpentry](https://www.rostrum.blog/2019/11/27/pivot/),86,FALSE,###  R in Organizations,link,2019-12-02
+ [2019 R Package Advent Calendar](https://www.hvitfeldt.me/packagecalendar/2019/),82,FALSE,###  Resources,link,2019-12-02
+ [Basic play-by-play sequence overview for NFL games](https://github.com/wiscostret/nflpbpseq/blob/master/nflpbpseqviz.md),123,FALSE,###  Resources,link,2019-12-02
+ [JavaScript 4 Shiny - Field Notes](https://connect.thinkr.fr/js4shinyfieldnotes/),83,FALSE,###  Resources,link,2019-12-02
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2019-12-02
**CRAN**,8,FALSE,###  New Packages,unid,2019-12-02
+ [shinyMobile   Mobile Ready 'shiny' Apps with Standalone Capabilities](https://cran.r-project.org/package=shinyMobile),120,FALSE,###  New Packages,link,2019-12-02
![shinymobile](https://raw.githubusercontent.com/rweekly/image/master/2019-12-02/shinyMobile.png),97,FALSE,###  New Packages,image,2019-12-02
+ [polite   Be Nice on the Web](https://cran.r-project.org/package=polite),74,FALSE,###  New Packages,link,2019-12-02
+ [gluedown   Wrap Vectors in Markdown Formatting](https://cran.r-project.org/package=gluedown),95,FALSE,###  New Packages,link,2019-12-02
+ [fitzRoy   Easily Scrape and Process AFL Data](https://cran.r-project.org/package=fitzRoy),92,FALSE,###  New Packages,link,2019-12-02
**GitHub or Bitbucket**,23,FALSE,###  New Packages,unid,2019-12-02
+ [`{vov}`: vov.css animations for shiny](https://github.com/tyluRp/vov),72,FALSE,###  New Packages,link,2019-12-02
![vov](https://raw.githubusercontent.com/rweekly/image/master/2019-12-02/vov_demo.gif),86,FALSE,###  New Packages,image,2019-12-02
+ [`{wisegroup}`: Never be burned by forgetting to `ungroup()` again](https://github.com/MilesMcBain/wisegroup),111,FALSE,###  New Packages,link,2019-12-02
"+ [{pins} 0.3: Azure, GCloud, and S3](http://pins.rstudio.com/blog/posts/pins-0-3-0)",84,FALSE,### Updated Packages,link,2019-12-02
"+ [Shiny Developer Series Episode 7](https://shinydevseries.com/ep7) - Eric & Curtis chat with Victor Perrier & Fanny Meyer of [dreamRs](https://www.dreamrs.fr/) to discuss the powerful `{shinyWidgets}` package for enhancing Shiny user interfaces, the origins of [dreamRs](https://www.dreamrs.fr/), and more demos of their excellent packages.",342,FALSE,###  Videos and Podcasts,link,2019-12-02
+ [15 Tips on Making Better Use of R Markdown](https://www.youtube.com/watch?v=L5yTrtRdeCI&feature=youtu.be),108,FALSE,###  Videos and Podcasts,link,2019-12-02
"+ [Not So Standard Deviations Episode 92: Hilary Comes to Town](http://nssdeviations.com/92-hilary-comes-to-town) - Hilary and Roger record in person for the third time ever to discuss the changing nature of data science and its role in various industries, the use of QA in data science product development, and lots of other stuff.",332,FALSE,###  Videos and Podcasts,link,2019-12-02
"+ [Practical Data Science with R, 2nd Edition: Introduction Video](http://www.win-vector.com/blog/2019/11/practical-data-science-with-r-2nd-edition-introduction-video/)",168,FALSE,###  Videos and Podcasts,link,2019-12-02
+ [Easy US Maps in R - Thanksgiving Edition](https://www.littlemissdata.com/blog/usmap),87,FALSE,###  Tutorials,link,2019-12-02
![map](https://raw.githubusercontent.com/rweekly/image/master/2019-12-02/thanksgiving.png),90,FALSE,###  Tutorials,image,2019-12-02
+ [R-inforcement Learning Part One- Tic Tac Toe](https://www.robert-hickman.eu/post/r-inforcement_learning_one/),112,FALSE,###  Tutorials,link,2019-12-02
+ [Search and discover CRAN packages with pkgsearch!](https://blog.r-hub.io/2019/11/26/pkgsearch/),98,FALSE,###  Tutorials,link,2019-12-02
+ [Another mixed effects model visualization](https://tjmahr.github.io/another-mixed-effects-model-visualization/),114,FALSE,###  Tutorials,link,2019-12-02
![mixed](https://raw.githubusercontent.com/rweekly/image/master/2019-12-02/mixed_effects_model.png),99,FALSE,###  Tutorials,image,2019-12-02
+ [Introduction to workloopR: an R package for the analysis of data from muscle physiology experiments](https://docs.ropensci.org/workloopR/articles/Introduction-to-workloopR.html),180,FALSE,###  Tutorials,link,2019-12-02
+ [Refactoring Tests](https://www.hvitfeldt.me/blog/refactoring-tests/),71,FALSE,###  Tutorials,link,2019-12-02
"<!--<div class=""post-more-begin></div><div class=""post-more-end""></div>-->",74,FALSE,###  Tutorials,unid,2019-12-02
Updates from [R Core](http://developer.r-project.org/blosxom.cgi/R-devel/NEWS):,79,FALSE,###  R Project Updates,unid,2019-12-02
Events in 3 Months:,19,FALSE,###  Upcoming Events in 3 Months,unid,2019-12-02
