value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2018-1-1
"title: R Weekly 2018-1 New Year, Android, R4DS",46,FALSE,NA,unid,2018-1-1
description: Weekly News in the R Community.,44,FALSE,NA,unid,2018-1-1
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,unid,2018-1-1
---,3,FALSE,NA,unid,2018-1-1
+ [hrbrmstr’s Year In Review](https://rud.is/rpubs/2017-year-in-review/),72,FALSE,###  Highlight,link,2018-1-1
+ [R4DS: the next iteration](https://medium.com/@kierisi/r4ds-the-next-iteration-d51e0a1b0b82),94,FALSE,###  Highlight,link,2018-1-1
+ [A curated list of Awesome Shiny Apps for Statistics](https://github.com/huyingjie/Awesome-shiny-apps-for-statistics),119,FALSE,###  Highlight,link,2018-1-1
+ [Using R on Android](http://selbydavid.com/2017/12/29/r-android/),67,FALSE,###  Highlight,link,2018-1-1
+ [Using the Tidyverse to analyze the Metallica concerts I have attended. ](https://kgilds.rbind.io/2017/11/19/metallica-concerts-with-the-tidyverse/),150,FALSE,### Insights,link,2018-1-1
+ [Help Needed: Use Sentence Styles in knitr's Documentation](https://yihui.name/en/2017/12/sentence-styles-knitr/),115,FALSE,### Insights,link,2018-1-1
+ [Six Reasons To Learn R For Business](http://www.business-science.io/business/2017/12/27/six-reasons-to-use-R-for-business.html),130,FALSE,### Insights,link,2018-1-1
![Six Reasons To Learn R For Business](https://www.business-science.io/figure/source/2017-12-27-six-reasons-to-use-R-for-business/unnamed-chunk-1-1.png),152,FALSE,### Insights,image,2018-1-1
+ [hrbrmstr’s Year In Review](https://rud.is/rpubs/2017-year-in-review/),72,FALSE,### Insights,link,2018-1-1
+ [R4DS: the next iteration](https://medium.com/@kierisi/r4ds-the-next-iteration-d51e0a1b0b82),94,FALSE,### Insights,link,2018-1-1
+ [2017. Quantified. In. R.](https://rud.is/b/2017/12/29/2017-quantified-in-r/),79,FALSE,### R in the Real World,link,2018-1-1
![2017. Quantified. In. R.](https://i2.wp.com/rud.is/rpubs/2017-year-in-review/year-in-review_files/figure-html/tweet_length-1.png?zoom=3&resize=780%2C429&ssl=1),161,FALSE,### R in the Real World,image,2018-1-1
"+ [MPA 635: Data visualization](https://datavizf17.classes.andrewheiss.com/final-projects/) - Students use R and Illustrator to take a huge dataset, explore it, tinker with it, and tell a nuanced story about it using at least three graphs.",239,FALSE,### R in the Real World,link,2018-1-1
![MPA 635: Data visualization](https://datavizf17.classes.andrewheiss.com/final/dan-sisco/dan-sisco_final.png),110,FALSE,### R in the Real World,image,2018-1-1
+ [Tidying and mapping Toronto open data](https://sharlagelfand.netlify.com/posts/tidying-toronto-open-data/),109,FALSE,### R in the Real World,link,2018-1-1
+ [Bayes' Puzzle Powers](http://danielphadley.com/Bayes-538/),61,FALSE,### R in the Real World,link,2018-1-1
+ [Using R on Android](http://selbydavid.com/2017/12/29/r-android/),67,FALSE,### R in the Real World,link,2018-1-1
+ [People Paid A Lot to Park Downtown This Year](http://amyszczepanski.com/2017/12/29/people-paid-a-lot-to-park-downtown-this-year.html),136,FALSE,### R in the Real World,link,2018-1-1
+ [Sentiment Analysis of Colorado Flood Tweets in R](https://earthdatascience.org/courses/earth-analytics/get-data-using-apis/sentiment-analysis-of-twitter-data-r/),164,FALSE,### R in the Real World,link,2018-1-1
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2018-1-1
+ [brmstools](https://mvuorre.github.io/brmstools/) - helper functions for (visualizing) brms models,100,FALSE,###  New Packages,link,2018-1-1
![brmstools](https://mvuorre.github.io/brmstools/reference/figures/README-forest-1.png),87,FALSE,###  New Packages,image,2018-1-1
+ [strava](https://github.com/marcusvolz/strava) - Create artistic visualisations with your exercise data,105,FALSE,###  New Packages,link,2018-1-1
+ [rhymer](https://landesbergn.github.io/rhymer/index.html) - Find rhyming and other related words using the Datamuse API.,122,FALSE,###  New Packages,link,2018-1-1
+ [A curated list of Awesome Shiny Apps for Statistics](https://github.com/huyingjie/Awesome-shiny-apps-for-statistics),119,FALSE,###  Resources,link,2018-1-1
+ [Rstudio addin to tweet from Rstudio](https://github.com/richarddmorey/tweetRcode),84,FALSE,###  Resources,link,2018-1-1
+ [R de jeu #2 : Happy new yeaR](https://thinkr.fr/r-de-jeu-2-happy-new-year/),78,FALSE,###  R Internationally,link,2018-1-1
+ [Visualizando datos de actividades deportivas con R y strava](http://liconoc.webs.upv.es/visualizando-datos-de-actividades-deportivas-con-r-y-strava/),152,FALSE,###  R Internationally,link,2018-1-1
+ [Deeplearning tutorial for beginners in R](https://www.youtube.com/watch?v=uALv0VkPI30&feature=youtu.be),106,FALSE,###  Videos and Podcasts,link,2018-1-1
+ [Combined outlier detection with dplyr and ruler](http://www.questionflow.org/2017/12/26/combined-outlier-detection-with-dplyr-and-ruler/),140,FALSE,###  Tutorials,link,2018-1-1
+ [library(methods): Human Time vs Computer Time](https://yihui.name/en/2017/12/library-methods/),97,FALSE,###  Tutorials,link,2018-1-1
+ [The Fix for Disqus and Images Figuring Out Images and Disqus With Blogdown](http://kgilds.rbind.io/2017/12/13/images/),121,FALSE,###  Tutorials,link,2018-1-1
+ [A gentle INLA tutorial](https://www.precision-analytics.ca/blog-1/inla),74,FALSE,###  Tutorials,link,2018-1-1
+ [saveRDS() vs write_csv() - a newbie introduction](https://roelandtn.frama.io/post/saverds-vs-write-csv/),107,FALSE,###  Tutorials,link,2018-1-1
+ [Goodbye Joyplots](http://serialmentor.com/blog/2017/9/15/goodbye-joyplots),77,FALSE,###  Tutorials,link,2018-1-1
+ [Twitter Data in R Using `rtweet`: Analyze and Download Twitter Data](https://earthdatascience.org/courses/earth-analytics/get-data-using-apis/use-twitter-api-r/),164,FALSE,###  Tutorials,link,2018-1-1
"+ [Music Visualizations using MIDI, R, and SVG](https://htmlpreview.github.io/?https://github.com/halhen/viz-pub/blob/master/mahler/code.html)",142,FALSE,###  Tutorials,link,2018-1-1
+ [Plotting Deep Learning Model Performance Trajectories](http://www.win-vector.com/blog/2017/12/plotting-deep-learning-model-performance-trajectories/),152,FALSE,###  Tutorials,link,2018-1-1
+ [Tiny Art in Less Than 280 Characters](https://fronkonstin.com/2017/12/23/tiny-art-in-less-than-280-characters/),114,FALSE,###  Tutorials,link,2018-1-1
![Tiny Art in Less Than 280 Characters](https://i0.wp.com/fronkonstin.com/wp-content/uploads/2017/12/sun.jpg?w=1200&ssl=1),122,FALSE,###  Tutorials,image,2018-1-1
+ [Merry Christmas and Happy New Year!](http://blog.revolutionanalytics.com/2017/12/merry-christmas-and-happy-new-year.html),124,FALSE,###  Tutorials,link,2018-1-1
+ [random wake](https://xianblog.wordpress.com/2017/12/27/random-wake/),71,FALSE,###  Tutorials,link,2018-1-1
