value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2016-10-24
layout: post,12,FALSE,NA,NA,unid,2016-10-24
title: Issue 22,15,FALSE,NA,NA,unid,2016-10-24
description: Weekly News in R Community.,40,FALSE,NA,NA,unid,2016-10-24
---,3,FALSE,NA,NA,unid,2016-10-24
Hello and welcome to the new issue of **R Weekly**!,51,FALSE,NA,NA,unid,2016-10-24
*Digested by R Weekly Members*,30,FALSE,NA,## Highlight,unid,2016-10-24
+ [Running sparklyr – RStudio’s R Interface to Spark on Amazon EMR](https://aws.amazon.com/cn/blogs/big-data/running-sparklyr-rstudios-r-interface-to-spark-on-amazon-emr/),171,FALSE,NA,## Highlight,link,2016-10-24
+ [RStudio in the Cloud II: Syncing Code & Data with AWS](http://strimas.com/r/rstudio-cloud-2/): a continuation of [a previous post](http://strimas.com/r/rstudio-cloud-1/) on setting up RStudio in the cloud on Amazon Web Services. This tutorial demonstrates transferring data and code to/from the cloud with GitHub and S3.,323,FALSE,NA,#### Tutorials,link,2016-10-24
+ [Running sparklyr – RStudio’s R Interface to Spark on Amazon EMR](https://aws.amazon.com/cn/blogs/big-data/running-sparklyr-rstudios-r-interface-to-spark-on-amazon-emr/),171,FALSE,NA,#### Tutorials,link,2016-10-24
![Running sparklyr – RStudio’s R Interface to Spark on Amazon EMR](https://d2908q01vomqb2.cloudfront.net/b6692ea5df920cad691c20319a6fffd7a4a766b8/2016/10/17/sparklyr_2.gif),172,FALSE,NA,#### Tutorials,image,2016-10-24
+ [Rmarkdown in a scientific workflow](http://predictiveecology.org/2016/10/21/Rmarkdown-science-workflow.html) - Using Rmarkdown with Rstudio and for all stages of my scientific projects has been a remarkable shift in how my work gets done!,241,FALSE,NA,#### Tutorials,link,2016-10-24
+ [The new R Graph Gallery](http://www.r-graph-gallery.com/),60,FALSE,NA,#### Tutorials,link,2016-10-24
+ [Why I would rather use ReporteRs than RMarkdown](http://www.mango-solutions.com/wp/2016/10/why-i-would-rather-use-reporters-than-rmarkdown/),143,FALSE,NA,#### Tutorials,link,2016-10-24
