value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2019-05-06
"title: R Weekly 2019-18 RMarkdown Driven Development, HIV",57,FALSE,NA,unid,2019-05-06
description: Weekly News in the R Community.,44,FALSE,NA,unid,2019-05-06
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,unid,2019-05-06
---,3,FALSE,NA,unid,2019-05-06
+ [RMarkdown Driven Development](https://emilyriederer.netlify.com/post/rmarkdown-driven-development/),102,FALSE,###  Highlight,link,2019-05-06
"+ [Analysing the HIV pandemic, Part 1: HIV in sub-Sahara Africa](https://rviews.rstudio.com/2019/04/30/analysing-hiv-pandemic-part-1/)",134,FALSE,###  Highlight,link,2019-05-06
+ [Naming Software Packages with Common Words](https://yihui.name/en/2019/04/naming-common-words/),98,FALSE,### Insights,link,2019-05-06
+ [RMarkdown Driven Development](https://emilyriederer.netlify.com/post/rmarkdown-driven-development/),102,FALSE,### Insights,link,2019-05-06
![RMarkdown Driven Development](https://raw.githubusercontent.com/rweekly/image/master/2019/rmarkdown-driven-development.png),125,FALSE,### Insights,image,2019-05-06
+ [Generative and Analytical Models for Data Analysis](https://simplystatistics.org/2019/04/29/generative-and-analytical-models-for-data-analysis/),147,FALSE,### Insights,link,2019-05-06
"+ [August 12, 1991 Review of S-PLUS Statistical Software](https://yihui.name/en/2019/05/review-of-s-plus/)",106,FALSE,### Insights,link,2019-05-06
"+ [Analysing the HIV pandemic, Part 1: HIV in sub-Sahara Africa](https://rviews.rstudio.com/2019/04/30/analysing-hiv-pandemic-part-1/)",134,FALSE,### R in the Real World,link,2019-05-06
"![Analysing the HIV pandemic, Part 1: HIV in sub-Sahara Africa](https://raw.githubusercontent.com/rweekly/image/master/2019/hiv-pandemic.png)",141,FALSE,### R in the Real World,image,2019-05-06
+ [Quebec floodable areas could use an update...](https://www.simoncoulombe.com/2019/04/quebec-floodable/),106,FALSE,### R in the Real World,link,2019-05-06
+ [What is the scope of NEON lakes data?](https://jsta.rbind.io/blog/what-is-the-scope-of-neon-lakes-data/),107,FALSE,### R in the Real World,link,2019-05-06
+ [Talk videos & slides from #satRdayJoburg (6 April 2019)](https://joburg2019.satrdays.org/#programme),103,FALSE,###  Resources,link,2019-05-06
"+ [How Do I? - A searchable list of data tasks referenced in the book ""Practical R for Mass Communication and Journalism""](https://smach.github.io/R4JournalismBook/HowDoI.html)",176,FALSE,###  Resources,link,2019-05-06
+ [RStudio 1.2 Released](https://blog.rstudio.com/2019/04/30/rstudio-1-2-release/),82,FALSE,###  R in Organizations,link,2019-05-06
+ [Availability of Microsoft R Open 3.5.2 and 3.5.3](https://blog.revolutionanalytics.com/2019/05/availability-of-microsoft-r-open-352-and-353.html),148,FALSE,###  R in Organizations,link,2019-05-06
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2019-05-06
**CRAN**,8,FALSE,###  New Packages,unid,2019-05-06
+ [Relaunching the qualtRics package](https://juliasilge.com/blog/qualtrics-relaunch/),86,FALSE,###  New Packages,link,2019-05-06
+ [inspectdf - Tools for Exploring and Comparing Data Frames](https://github.com/alastairrushworth/inspectdf),109,FALSE,###  New Packages,link,2019-05-06
**GitHub or Bitbucket**,23,FALSE,###  New Packages,unid,2019-05-06
+ [runcharter](https://www.johnmackintosh.com/2019-04-30-runcharter/),69,FALSE,###  New Packages,link,2019-05-06
+ [devout - an ascii graphics output device](https://coolbutuseless.github.io/2019/05/01/introducing-devout-an-ascii-graphics-output-device/),141,FALSE,###  New Packages,link,2019-05-06
+ [osrm](https://rgeomatic.hypotheses.org/1798),47,FALSE,### Updated Packages,link,2019-05-06
+ [serrsBayes](https://mattstats.wordpress.com/2019/05/01/serrsbayes-0-4-0/),76,FALSE,### Updated Packages,link,2019-05-06
+ [RcppArmadillo](http://dirk.eddelbuettel.com/blog/2019/04/29#rcpparmadillo_0.9.400.2.0),89,FALSE,### Updated Packages,link,2019-05-06
+ [dbplyr](https://www.tidyverse.org/articles/2019/04/dbplyr-1-4-0/),68,FALSE,### Updated Packages,link,2019-05-06
"+ [Shiny Developer Series Episode 1](https://shinydevseries.com/ep1) - In this special RStudio Community webinar recording, Eric and Curtis Kephart are joined by Winston Chang to discuss the past and future of Shiny, along with Winston's recommendations on how software design principles can greatly enhance developing complex Shiny applications.",346,FALSE,###  Videos and Podcasts,link,2019-05-06
+ [Dog Breed Popularity Chart](https://luisdva.github.io/rstats/dog-popularity/),80,FALSE,###  Tutorials,link,2019-05-06
![Dog Breed Popularity Chart](https://raw.githubusercontent.com/rweekly/image/master/2019/dog-popularity.png),109,FALSE,###  Tutorials,image,2019-05-06
+ [How I Put Logos on ggplot2 Figures](https://www.markhw.com/blog/logos),73,FALSE,###  Tutorials,link,2019-05-06
+ [Drawing Fractals with grid graphics - part 2](https://coolbutuseless.github.io/2019/04/29/drawing-fractals-with-grid-graphics-part-2/),137,FALSE,###  Tutorials,link,2019-05-06
+ [Interact with PostGIS from R](https://rtask.thinkr.fr/blog/interact-with-postgis-from-r-with-dbi-and-sf/),108,FALSE,###  Tutorials,link,2019-05-06
![Interact with PostGIS from R](https://raw.githubusercontent.com/rweekly/image/master/2019/r-postgis.png),106,FALSE,###  Tutorials,image,2019-05-06
+ [Building a Shiny App as a Package](https://rtask.thinkr.fr/blog/building-a-shiny-app-as-a-package/),102,FALSE,###  Tutorials,link,2019-05-06
+ [Introducing AzureGraph: an interface to Microsoft Graph](https://blog.revolutionanalytics.com/2019/04/introducing-azuregraph-an-interface-to-microsoft-graph.html),165,FALSE,###  Tutorials,link,2019-05-06
+ [Set Analysis: A face off between Venn diagrams and UpSet plots](https://www.littlemissdata.com/blog/set-analysis),116,FALSE,###  Tutorials,link,2019-05-06
![Set Analysis: A face off between Venn diagrams and UpSet plots](https://raw.githubusercontent.com/rweekly/image/master/2019/venn-diagrams-upset-plots.png),156,FALSE,###  Tutorials,image,2019-05-06
"<!--<div class=""post-more-begi",30,FALSE,###  Tutorials,unid,2019-05-06
