value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2019-01-28
"title: R Weekly 2019-04 Videos, News, Podcast",45,FALSE,NA,unid,2019-01-28
description: Weekly News in the R Community.,44,FALSE,NA,unid,2019-01-28
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,unid,2019-01-28
---,3,FALSE,NA,unid,2019-01-28
+ [rstudio::conf 2019 Videos](https://resources.rstudio.com/rstudio-conf-2019),78,FALSE,###  Highlight,link,2019-01-28
+ [Keeping up to date with R news](https://masalmon.eu/2019/01/25/uptodate/),76,FALSE,###  Highlight,link,2019-01-28
+ [R-Podcast episode 26: The podcast trifecta](https://r-podcast.org/26) - Eric is joined by podcast hosts Hilary Parker and Nick Tierney to discuss their impressions of `rstudio::conf` 2019 and thoughts on the future of R.  Plus Eric shares his insights from the excellent Advanced R Markdown workshop.,303,FALSE,###  Highlight,link,2019-01-28
+ [Quick Hit: Automating Production Graphics Uploads in R Markdown Documents with googledrive](https://rud.is/b/2019/01/24/quick-hit-automating-production-graphics-uploads-in-r-markdown-documents-with-googledrive/),214,FALSE,### Insights,link,2019-01-28
+ [Back from rstudio::conf 2019](https://yihui.name/en/2019/01/rstudio-conf/),77,FALSE,### Insights,link,2019-01-28
+ [R Conference Costs v2.0](https://www.jumpingrivers.com/blog/r-conference-costs-v2-0/),88,FALSE,### Insights,link,2019-01-28
![R Conference Costs v2.0](https://raw.githubusercontent.com/rweekly/image/master/2019/conference_costs.jpg),108,FALSE,### Insights,image,2019-01-28
+ [satRdays Newcastle 2019 Conference is Here!](https://www.jumpingrivers.com/blog/satrdays-newcastle-2019-conference/),119,FALSE,### Insights,link,2019-01-28
+ [Feeling the rstudio::conf ❤️](https://juliasilge.com/blog/rstudio-conf-2019/),80,FALSE,### Insights,link,2019-01-28
+ [rstudio::conf 2019 roundup](https://www.mango-solutions.com/blog/rstudioconf-2019),85,FALSE,### Insights,link,2019-01-28
+ [My Tidyverse Developers Day and RStudio::Conf Reflections!](https://ryo-n7.github.io/2019-01-25-tidyversedevday-rstudioconf-reflections/),140,FALSE,### Insights,link,2019-01-28
"<img src = ""https://i.imgur.com/YSND5RZ.jpg"" height = ""200"" />",62,FALSE,### Insights,unid,2019-01-28
+ [rstudio::conf 2019 Videos](https://resources.rstudio.com/rstudio-conf-2019),78,FALSE,### Insights,link,2019-01-28
+ [Keeping up to date with R news](https://masalmon.eu/2019/01/25/uptodate/),76,FALSE,### Insights,link,2019-01-28
+ [Which planet is closest to Earth?](https://flother.is/2019/which-planet-is-closest-to-earth/),96,FALSE,### R in the Real World,link,2019-01-28
![Which planet is closest to Earth?](https://raw.githubusercontent.com/rweekly/image/master/2019/mercury-venus-mars_hu71ea7f907329fb627f401ee3f34bdd2c_184862_1216x0_resize_lanczos_2.png),186,FALSE,### R in the Real World,image,2019-01-28
+ [Calibrating soccer odds using the caret package ](http://dm13450.github.io/2019/01/10/Odds-and-Winning.html),111,FALSE,### R in the Real World,link,2019-01-28
+ [Text network analysis of Twitter data on the day of the Colombian peace agreement referendum (plebiscito).  ](https://juanitorduz.github.io/text-mining-networks-and-visualization-plebiscito-tweets/),201,FALSE,### R in the Real World,link,2019-01-28
"+ [Walkthrough on how to query and visualise OpenStreetMap data on interactive historical maps using osmdata, tidyverse packages and Leaflet.](https://mhermans.net/post/mapping-leuvense-gangen/)",194,FALSE,### R in the Real World,link,2019-01-28
