value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2017-05-01
layout: post,12,FALSE,NA,unid,2017-05-01
"title: R Weekly 2017-18 OpenVisConf, 100k stories mining, emo😘",62,FALSE,NA,unid,2017-05-01
description: Weekly News in the R Community.,44,FALSE,NA,unid,2017-05-01
is_podcast: true,16,FALSE,NA,unid,2017-05-01
podcast_title: 2017 May - New R packages to handle binary files,63,FALSE,NA,unid,2017-05-01
podcast_permalink: https://cloud.rweekly.org/2017-may.mp3,57,FALSE,NA,unid,2017-05-01
podcast_description: |,22,FALSE,NA,unid,2017-05-01
  <![CDATA[,11,FALSE,NA,unid,2017-05-01
"  <p>About R 3.4.0 new features, R packages to handle binary files and more.</p>",80,FALSE,NA,unid,2017-05-01
  <ul>,6,FALSE,NA,unid,2017-05-01
"  <li>Read <a href=""https://www.rweekly.org/2017-18.html?pk_campaign=itunes_podcast"">R Weekly 2017 issue 18</a></li>",116,FALSE,NA,unid,2017-05-01
  </ul>,7,FALSE,NA,unid,2017-05-01
  <p></p>,9,FALSE,NA,unid,2017-05-01
  <ul> ,7,FALSE,NA,unid,2017-05-01
"  <li><a href=""https://www.patreon.com/rweekly"">Support with Patreon</a></li>",77,FALSE,NA,unid,2017-05-01
  </ul> ,8,FALSE,NA,unid,2017-05-01
  <ul>   ,9,FALSE,NA,unid,2017-05-01
"  <li><a href=""https://twitter.com/rweekly_org"">Twitter @rweekly_org</a></li>   ",80,FALSE,NA,unid,2017-05-01
  </ul>,7,FALSE,NA,unid,2017-05-01
  <ul> ,7,FALSE,NA,unid,2017-05-01
"  <li><a href=""https://www.facebook.com/rweekly"">Follow Facebook</a></li>  ",75,FALSE,NA,unid,2017-05-01
  </ul>,7,FALSE,NA,unid,2017-05-01
  <ul>,6,FALSE,NA,unid,2017-05-01
"  <li><a href=""http://freemusicarchive.org/music/gillicuddy/Plays_Guitar_Again/01-adventure-darling"">Music by Gillicuddy</a></li>",129,FALSE,NA,unid,2017-05-01
  </ul>,7,FALSE,NA,unid,2017-05-01
  ]]>,5,FALSE,NA,unid,2017-05-01
podcast_size: 5785797,21,FALSE,NA,unid,2017-05-01
"podcast_duration: ""3:48""",24,FALSE,NA,unid,2017-05-01
"podcast_summary: About R 3.4.0 new features, R packages to handle binary files and more. https://rweekly.org/2017-18.html",121,FALSE,NA,unid,2017-05-01
"podcast_keywords: "", ggplot2""",29,FALSE,NA,unid,2017-05-01
podcast_subtitle: New R packages to handle binary files,55,FALSE,NA,unid,2017-05-01
---,3,FALSE,NA,unid,2017-05-01
+ [Slides from OpenVisConf 2017](https://github.com/kbroman/OpenVisConf2017Slides),82,FALSE,###  Highlight,link,2017-05-01
"+ [Gender and verbs across 100,000 stories: a tidy analysis](http://varianceexplained.org/r/tidytext-gender-plots/) - And more about [the arc of the stories](http://varianceexplained.org/r/tidytext-plots/)",205,FALSE,###  Highlight,link,2017-05-01
+ [Perceptions of Probability and Numbers](https://github.com/zonination/perceptions),85,FALSE,###  R in the Real World,link,2017-05-01
![Perceptions of Probability and Numbers](https://raw.githubusercontent.com/zonination/perceptions/master/plot1.png),116,FALSE,###  R in the Real World,image,2017-05-01
+ [Beautiful boxplots in base R](http://www.opiniomics.org/beautiful-boxplots-in-base-r/),89,FALSE,###  R in the Real World,link,2017-05-01
+ [NLP with AirBnb](http://blog.nycdatascience.com/student-works/nlp-with-airbnb/),82,FALSE,###  R in the Real World,link,2017-05-01
+ [Predict French vote with R](http://colinfay.me/predict-french-vote-with-r/),78,FALSE,###  R in the Real World,link,2017-05-01
+ [R⁶ — Using pandoc from R + A Neat Package For Reading Subtitles](https://rud.is/b/2017/04/30/r%E2%81%B6-using-pandoc-from-r-a-neat-package-for-reading-subtitles/),165,FALSE,###  R in the Real World,link,2017-05-01
![Using pandoc from R + A Neat Package For Reading Subtitles](https://i2.wp.com/rud.is/b/wp-content/uploads/2017/04/flash.png?ssl=1),132,FALSE,###  R in the Real World,image,2017-05-01
+ [Population Lines: How and Why I Created It](http://spatial.ly/2017/04/population-lines-how-and-why-i-created-it/),116,FALSE,###  R in the Real World,link,2017-05-01
![Population Lines: How and Why I Created It](https://i1.wp.com/spatial.ly/wp-content/uploads/2013/09/population_lines_sml.jpg),127,FALSE,###  R in the Real World,image,2017-05-01
"+ [Where Europe lives, in 14 lines of R Code](http://blog.revolutionanalytics.com/2017/04/where-europe-lives.html)",114,FALSE,###  R in the Real World,link,2017-05-01
+ [Map of population density lines in R](http://urbandemographics.blogspot.co.za/2017/04/map-of-population-density-lines-in-r.html),131,FALSE,###  R in the Real World,link,2017-05-01
+ [What's that on the horizon? An awesome dataviz!](http://lenkiefer.github.io/2017/04/23/horizon),98,FALSE,###  R in the Real World,link,2017-05-01
+ [Using NYC Citi Bike Data to Help Bike Enthusiasts Find their Mate](http://blog.nycdatascience.com/student-works/r-visualization/using-nyc-citi-bike-data-help-bike-enthusiasts-find-mate-dating-app/),200,FALSE,###  R in the Real World,link,2017-05-01
+ [Creating an animated world map of life expectancy changes from 1950 to 2100 in R ](https://urbandemographics.blogspot.co.uk/2017/03/creating-animated-world-map-of-life.html),176,FALSE,###  R in the Real World,link,2017-05-01
![Creating an animated world map of life expectancy changes from 1950 to 2100 in R](https://2.bp.blogspot.com/-Ejx33Uob0ho/WNVXKNsBBYI/AAAAAAAABow/7hbCdPNIXsUHtO9CgilNz20dISoM_xmrgCLcB/s640/output4020_old_horitontal.gif),220,FALSE,###  R in the Real World,image,2017-05-01
+ [Bivariate choropleth maps with R](http://lenkiefer.github.io/2017/04/24/bivariate-map),89,FALSE,###  R in the Real World,link,2017-05-01
"+ [Examining the arc of 100,000 stories: a tidy analysis](http://varianceexplained.org/r/tidytext-plots/)",105,FALSE,###  R in the Real World,link,2017-05-01
"+ [Gender and verbs across 100,000 stories: a tidy analysis](http://varianceexplained.org/r/tidytext-gender-plots/)",115,FALSE,###  R in the Real World,link,2017-05-01
+ [The daily grind](https://gist.github.com/halhen/47bc8f482b18f2d81dd405ec25a70d51),84,FALSE,###  R in the Real World,link,2017-05-01
![The daily grind](https://raw.githubusercontent.com/rweekly/image/master/2017-05-01/out122.png),96,FALSE,###  R in the Real World,image,2017-05-01
+ [Where Cohen went wrong – the proportion of overlap between two normal distributions](http://rpsychologist.com/cohen-d-proportion-overlap),140,FALSE,###  R in the Real World,link,2017-05-01
+ [New R packages to handle binary files - R Weekly 2017 May](https://youtu.be/WL6UHP0LTDg) - [Podcast Feed](https://feeds.feedburner.com/rweeklypodcast?format=xml),164,FALSE,###  Videos and Podcasts,link,2017-05-01
"+ [NSSD 37 - It's a Seller's Market](https://soundcloud.com/nssd-podcast/episode-37-its-a-sellers-market) - Hilary and Roger talk about the EPA taking down data (or not?), whether statisticians are paternalistic, and how to evaluate machine learning consumer products.",268,FALSE,###  Videos and Podcasts,link,2017-05-01
+ [Data Science Specialization Community Mentor Content Repository](https://github.com/lgreski/datasciencectacontent),117,FALSE,###  Resources,link,2017-05-01
"+ [Writing your thesis with R Markdown – Figures, R code and tables](https://rosannavanhespenresearch.wordpress.com/2016/03/18/writing-your-thesis-with-r-markdown-3-figures-r-code-and-tables/)",192,FALSE,###  Resources,link,2017-05-01
+ [Coding etiquette](https://ourcodingclub.github.io/2017/04/25/etiquette.html),79,FALSE,###  Resources,link,2017-05-01
+ [Data Carpentry Ecology Workshop](http://www.datacarpentry.org/ecology-workshop/),83,FALSE,###  Resources,link,2017-05-01
+ [Slides from OpenVisConf 2017](https://github.com/kbroman/OpenVisConf2017Slides),82,FALSE,###  Resources,link,2017-05-01
+ [Reproducible Data Science with R](http://blog.revolutionanalytics.com/2017/04/reproducible-data-science-with-r.html),119,FALSE,###  Resources,link,2017-05-01
+ [Visualisation for EDA](https://github.com/hadley/vis-eda),60,FALSE,###  Resources,link,2017-05-01
"<p class=""hide-support added-hostname support-rweekly"" style=""text-align: center;font-weight: bold;"">Your <a class=""non-visited externalLink"" href=""https://www.patreon.com/rweekly"" onclick=""pas(this)"">support</a> will keep R Weekly team moving!</p>",248,FALSE,###  Resources,unid,2017-05-01
+ [Which are the popular languages for Data Science](https://medium.com/@MarutiTech/which-are-the-popular-languages-for-data-science-8e67fb5ef1ff),146,FALSE,###  Insights,link,2017-05-01
![Which are the popular languages for Data Science](https://github.com/rweekly/image/blob/master/2017-05-01/data-science-lgg.jpeg?raw=true),139,FALSE,###  Insights,image,2017-05-01
+ [Science really is non-partisan: facts and skepticism annoy everybody](http://simplystats.github.io/2017/04/24/march-for-science/),132,FALSE,###  Insights,link,2017-05-01
+ [#6: Easiest package registration](http://dirk.eddelbuettel.com/blog/2017/04/30/#006_easiest_package_registration),116,FALSE,###  Insights,link,2017-05-01
+ [dv01 uses R bring greater transparency to the consumer lending market](http://blog.revolutionanalytics.com/2017/04/dv01-uses-r.html),135,FALSE,###  R in Organizations,link,2017-05-01
+ [Welcome to our rOpenSci Interns](http://ropensci.org/blog/blog/2017/04/27/ropensci-interns),94,FALSE,###  R in Organizations,link,2017-05-01
+ [NY R Conference](https://rviews.rstudio.com/2017/04/28/nyr/),63,FALSE,###  R in Organizations,link,2017-05-01
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2017-05-01
+ [emo](https://github.com/hadley/emo) - 😍😘😙😚😻 Easily insert emoji into RMarkdown ,82,FALSE,###  New Packages,link,2017-05-01
+ [errors](https://www.enchufa2.es/archives/errors-0-0-1.html) - Error Propagation for R Vectors,96,FALSE,###  New Packages,link,2017-05-01
