value,nchar,section_lookup,section_title,section,type,issue
+ [shinyLP](https://github.com/jasdumas/shinyLP) - Bootstrap Components to make Landing Home Pages for Shiny,108,FALSE,NA,## New Packages & Tools,link,2016-8-29
"+ [processx](https://github.com/gaborcsardi/processx) - Portable tools to run system processes in the background, read their standard output and error, kill and restart them.",174,FALSE,NA,## New Packages & Tools,link,2016-8-29
+ [types](https://github.com/jimhester/types) - This package provides a simple type annotation for R that is usable in scripts.,127,FALSE,NA,## New Packages & Tools,link,2016-8-29
+ [thief](http://robjhyndman.com/hyndsight/thief/) - The thief package for R: Temporal HIErarchical Forecasting.,112,FALSE,NA,## New Packages & Tools,link,2016-8-29
Updates from [R Core](http://developer.r-project.org/blosxom.cgi/R-devel/NEWS).,79,FALSE,NA,## R Project Updates,unid,2016-8-29
"+ `summary.default()` no longer rounds, but its print method does, resulting in much less extraneous rounding notably of numbers in the ten thousands.",150,FALSE,NA,## R Project Updates,unid,2016-8-29
"+ `R CMD check` reports more dubious flags in files ‘src/Makevars[.in]’, including `-w` and `-g`.",97,FALSE,NA,## R Project Updates,unid,2016-8-29
+ `R CMD check` has been set up to filter important warnings from recent versions of `gfortran` with `-Wall -pedantic`: this now reports non-portable GNU extensions such as out-of-order declarations.,199,FALSE,NA,## R Project Updates,unid,2016-8-29
"+ `system.time()` now uses ‘message()’ instead of ‘cat()’ when terminated early, such that ‘suppressMessages()’ has an effect; suggested by Ben Bolker.",151,FALSE,NA,## R Project Updates,unid,2016-8-29
"+ [satRday! in Budapest, Hungary](http://budapest.satrdays.org/#cfp) **3 September**<br>",88,FALSE,NA,## Upcoming Events,link,2016-8-29
"The satRdays are SQLSaturday-inspired, community-led, one-day, regional and very affordable conferences around the world to support collaboration, networking and innovation within the R community.<br>",200,FALSE,NA,## Upcoming Events,unid,2016-8-29
[Twitter list of satRday speakers](https://twitter.com/thinkR_fr/lists/satrday-budapest-speakers),97,FALSE,NA,## Upcoming Events,unid,2016-8-29
+ [EARL 2016 London](https://earlconf.com/)  **13 September - 15 September** <br>,81,FALSE,NA,## Upcoming Events,link,2016-8-29
The primary focus of the Conference is the commercial usage of R across a range of industry sectors with the aim of sharing knowledge and applications of the language.<br />,173,FALSE,NA,## Upcoming Events,unid,2016-8-29
"+ [eRum 2016 Poznan, Poland](http://erum.ue.poznan.pl/)  **12 October - 14 October** <br>",89,FALSE,NA,## Upcoming Events,link,2016-8-29
"European R users meeting (eRum) is an international conference that aims at integrating users of the R language. eRum 2016 will be a good chance to exchange experiences, broaden knowledge on R and collaborate. <br />",216,FALSE,NA,## Upcoming Events,unid,2016-8-29
"<blockquote class=""twitter-tweet"" data-lang=""en""><p lang=""en"" dir=""ltr"">Linear Regression <a href=""https://t.co/tm0tRUKW5g"">https://t.co/tm0tRUKW5g</a> <a href=""https://t.co/Z31HRTMbic"">pic.twitter.com/Z31HRTMbic</a></p>&mdash; xkcd (@xkcd_rss) <a href=""https://twitter.com/xkcd_rss/status/769165376202604545"">August 26, 2016</a></blockquote>",342,FALSE,NA,## Quote of the Week,unid,2016-8-29
