value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2020-02-10
"title: R Weekly 2020-06 RStudio::Conf, Corona virus dashboard, {lcars}",70,FALSE,NA,unid,2020-02-10
description: Weekly News in the R Community.,44,FALSE,NA,unid,2020-02-10
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,unid,2020-02-10
---,3,FALSE,NA,unid,2020-02-10
Release Date: 2020-02-10,24,FALSE,NA,unid,2020-02-10
"This week’s release was curated by [Ryo Nakagawara](https://twitter.com/R_by_Ryo), with help from the RWeekly team members and contributors.",140,FALSE,NA,unid,2020-02-10
"+ [Back from rstudio::conf(2020) - My talk, Q&A's, and other conference experiences - Yihui Xie](https://yihui.org/en/2020/02/rstudio-conf-2020/)",145,FALSE,###  Highlight,link,2020-02-10
+ [Coronavirus Tracking dashboard](https://github.com/JohnCoene/coronavirus),76,FALSE,###  Highlight,link,2020-02-10
+ [{lcars}: Provides Shiny widgets and Shiny UI theme that support an LCARS aesthetic for Shiny apps](https://github.com/leonawicz/lcars),137,FALSE,###  Highlight,link,2020-02-10
"+ [Back from rstudio::conf(2020) - My talk, Q&A's, and other conference experiences - Yihui Xie](https://yihui.org/en/2020/02/rstudio-conf-2020/)",145,FALSE,### Insights,link,2020-02-10
+ [RStudio Conference 2020](https://www.openscapes.org/blog/2020/02/04/rstudioconf-2020/),89,FALSE,### Insights,link,2020-02-10
+ [Some lessons from rstudio::conf](https://thewoodpeckr.wordpress.com/2020/02/03/some-lessons-from-rstudioconf/),113,FALSE,### Insights,link,2020-02-10
+ [Some Upcoming 2020 R Conferences](https://rviews.rstudio.com/2020/02/05/some-2020-r-conferences/),100,FALSE,### Insights,link,2020-02-10
+ [The Fun of Building Things and the Challenge of Learning - the rOpenSci OzUnconf 2019](https://ropensci.org/blog/2020/02/05/ozunconf19/),139,FALSE,### Insights,link,2020-02-10
+ [Integrating R & Python into a Data Science program](https://ubc-mds.github.io/2020-02-03-teach-python-and-r/),112,FALSE,### Insights,link,2020-02-10
+ [SHARPEn your portfolio](https://osm.netlify.com/post/sharpen-your-portfolio/),80,FALSE,### R in the Real World,link,2020-02-10
+ [Comparing Ensembl GTF and cDNA](https://fromsystosys.netlify.com/2020/02/07/comparing-ensembl-gtf-and-cdna/),111,FALSE,### R in the Real World,link,2020-02-10
+ [Calculate all the CVs of all the QC Levels of all the Methods of all the Instruments at all the Sites all at once … with Sunquest LIS and dplyr](http://labrtorian.com/2020/02/04/calculate-all-the-cvs-of-all-the-qc-levels-of-all-the-methods-of-all-the-instruments-at-all-the-sites-all-at-once-with-sunquest-lis-and-dplyr/),324,FALSE,### R in the Real World,link,2020-02-10
+ [Lewis Carroll's proposed rules for tennis tournaments](http://freerangestats.info/blog/2020/02/01/tennis-carroll),116,FALSE,### R in the Real World,link,2020-02-10
+ [Visualising The G/Food Place](https://github.com/mine-cetinkaya-rundel/the-food-place),89,FALSE,###  Resources,link,2020-02-10
![](https://raw.githubusercontent.com/rweekly/image/master/2020-02-10/thefoodplace.jpg),87,FALSE,###  Resources,image,2020-02-10
+ [Links to slides for rstudio::conf 2020](https://github.com/EmilHvitfeldt/RStudioConf2020Slides),98,FALSE,###  Resources,link,2020-02-10
+ [Hacking Germany’s Official Statistics with {datenguideR}](https://dg-berlinr.netlify.com/#1),95,FALSE,###  Resources,link,2020-02-10
+ [Statistical Modeling of High Dimensional Counts](https://mikelove.github.io/counts-model/),93,FALSE,###  Resources,link,2020-02-10
+ [Coronavirus Tracking dashboard](https://github.com/JohnCoene/coronavirus),76,FALSE,###  Resources,link,2020-02-10
![](https://raw.githubusercontent.com/rweekly/image/master/2020-02-10/coronavirusshiny.jpg),91,FALSE,###  Resources,image,2020-02-10
+ [Debugging your R code with the browser() function and a second pipe operator](https://www.youtube.com/watch?v=ATIl_JlM9ko),125,FALSE,###  Resources,link,2020-02-10
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2020-02-10
**CRAN**,8,FALSE,###  New Packages,unid,2020-02-10
+ [{add2ggplot}: Add to 'ggplot2'](https://cran.r-project.org/package=add2ggplot),81,FALSE,###  New Packages,link,2020-02-10
+ [{rawKS}: Easily Get True-Positive Rate and False-Positive Rate and KS Statistic](https://cran.r-project.org/package=rawKS),125,FALSE,###  New Packages,link,2020-02-10
