value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2019-10-28
"title: R Weekly 2019-43 Facebook, renv, Pivot",45,FALSE,NA,unid,2019-10-28
description: Weekly News in the R Community.,44,FALSE,NA,unid,2019-10-28
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,unid,2019-10-28
---,3,FALSE,NA,unid,2019-10-28
+ [deleting_facebook](https://github.com/AmeliaMN/deleting_facebook) - Documentation of what I'm doing to prepare to delete Facebook account,140,FALSE,###  Highlight,link,2019-10-28
+ [{renv}: Project Environments](https://cran.r-project.org/package=renv),73,FALSE,###  Highlight,link,2019-10-28
+ [Pivoting tidily](https://www.fromthebottomoftheheap.net/2019/10/25/pivoting-tidily/),87,FALSE,###  Highlight,link,2019-10-28
"+ [Intro to {bulletchartr} (Tokyo.R #82, Oct. 26, 2019)](http://rpubs.com/Ryo-N7/bulletchartr-tokyor82)",103,FALSE,###  Highlight,link,2019-10-28
+ [Why do we need to teach](https://aebou.rbind.io/posts/2019/10/why-do-we-need-to-teach/),90,FALSE,### R in the Real World,link,2019-10-28
+ [12 Months of restaurants](https://jechave.com/post/12-months-of-restaurants/),80,FALSE,### R in the Real World,link,2019-10-28
+ [R is overtaking Python in microbes analysis](https://aebou.rbind.io/posts/2019/10/r-is-overtaking-python-in-microbes-analysis/),130,FALSE,### R in the Real World,link,2019-10-28
+ [Downloading Fitbit Data Histories with R](https://methodmatters.github.io/downloading-fitbit-data-histories-with-r/),119,FALSE,### R in the Real World,link,2019-10-28
+ [Justice reactions to deviant ingroup members: Ingroup identity threat motivates utilitarian punishments](https://socialpsychologyproject749274586.wordpress.com/),164,FALSE,### R in the Real World,link,2019-10-28
+ [A Tale of Two (Small Belgian) Cities with Open Data: Official Crime Statistics and Self-Reported Feelings of Safety in Leuven and Vilvoorde](https://methodmatters.github.io/a-tale-of-two-small-belgian-cities-with/),217,FALSE,### R in the Real World,link,2019-10-28
![A Tale of Two ](https://raw.githubusercontent.com/rweekly/image/master/2019/tale-of.png),90,FALSE,### R in the Real World,image,2019-10-28
+ [Building a Corporate R Package for Pleasure and Profit](https://technistema.com/posts/building-a-corporate-r-package-for-pleasure-and-profit/),145,FALSE,### R in the Real World,link,2019-10-28
"+ [Intro to {bulletchartr} (Tokyo.R #82, Oct. 26, 2019)](http://rpubs.com/Ryo-N7/bulletchartr-tokyor82)",103,FALSE,###  Resources,link,2019-10-28
+ [What can social media do for academic and professional statisticians?](https://emitanaka.org/slides/ISIWSC2019/#1),117,FALSE,###  Resources,link,2019-10-28
+ [Successful Integration of Data Science in Undergraduate Biostatistics Courses Using Cognitive Load Theory](https://www.lifescied.org/doi/full/10.1187/cbe.19-02-0041),168,FALSE,###  Resources,link,2019-10-28
![Successful Integra](https://raw.githubusercontent.com/rweekly/image/master/2019/cbe.19.png),93,FALSE,###  Resources,image,2019-10-28
+ [Mastering Apache Spark with R](https://therinspark.com/intro.html),69,FALSE,###  Resources,link,2019-10-28
+ [Agile Data Science with R](https://edwinth.github.io/ADSwR/),63,FALSE,###  Resources,link,2019-10-28
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2019-10-28
**CRAN**,8,FALSE,###  New Packages,unid,2019-10-28
+ [{varycoef}: R Package to Model Spatially Varying Coefficients](http://user.math.uzh.ch/dambon/blogs/varycoef_release.html),125,FALSE,###  New Packages,link,2019-10-28
+ [{fastrtext}: 'fastText' Wrapper for Text Classification and WordRepresentation](https://cran.r-project.org/package=fastrtext),128,FALSE,###  New Packages,link,2019-10-28
+ [{renv}: Project Environments](https://cran.r-project.org/package=renv),73,FALSE,###  New Packages,link,2019-10-28
+ [{fresh}: Fresh shiny themes](https://github.com/dreamRs/fresh),65,FALSE,###  New Packages,link,2019-10-28
![Fresh shiny themes](https://raw.githubusercontent.com/dreamRs/fresh/master/man/figures/shinydashboard-custom.png),115,FALSE,###  New Packages,image,2019-10-28
**GitHub or Bitbucket**,23,FALSE,###  New Packages,unid,2019-10-28
+ [{rmangal}: making ecological networks easily accessible](https://ropensci.org/blog/2019/10/21/rmangal/),106,FALSE,###  New Packages,link,2019-10-28
+ [{nationalparkcolors}: R package for color themes inspired by national parks](https://github.com/katiejolly/nationalparkcolors),129,FALSE,###  New Packages,link,2019-10-28
![nationalparkcolors](https://raw.githubusercontent.com/katiejolly/nationalparkcolors/master/man/figures/README-unnamed-chunk-6-1.png),134,FALSE,###  New Packages,image,2019-10-28
+ [{WhiteboxTools}: an advanced geospatial data analysis platform ](https://giswqs.github.io/whitebox-frontends/),113,FALSE,###  New Packages,link,2019-10-28
+ [deleting_facebook](https://github.com/AmeliaMN/deleting_facebook) - Documentation of what I'm doing to prepare to delete Facebook account,140,FALSE,###  New Packages,link,2019-10-28
+ [{RcppGSL 0.3.7}](http://dirk.eddelbuettel.com/blog/2019/10/20#rcppgsl_0.3.7),79,FALSE,### Updated Packages,link,2019-10-28
+ [{digest} 0.6.22: More goodies!](http://dirk.eddelbuettel.com/blog/2019/10/21#digest_0.6.22),94,FALSE,### Updated Packages,link,2019-10-28
+ [{pkgKitten} 0.1.5: Creating R Packages that purr](http://dirk.eddelbuettel.com/blog/2019/10/22#pkgKitten_0.1.5),114,FALSE,### Updated Packages,link,2019-10-28
+ [{RStudio Professional Drivers} 1.6.0](https://blog.rstudio.com/2019/10/24/pro-drivers-1-6-0-release/),104,FALSE,### Updated Packages,link,2019-10-28
![RStudio Professional Drivers](https://raw.githubusercontent.com/rweekly/image/master/2019/odbc-data-connectors-white.png),123,FALSE,### Updated Packages,image,2019-10-28
+ [{dang} 0.0.11: 'Dang' Associated New Goodies](http://dirk.eddelbuettel.com/blog/2019/10/24#dang_0.0.11),106,FALSE,### Updated Packages,link,2019-10-28
+ [{tidybayes} 1.1.0: Bayesian analysis + tidy data + geoms](https://github.com/mjskay/tidybayes),97,FALSE,### Updated Packages,link,2019-10-28
