value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2018-08-06
"title: R Weekly 2018-32 Basic, Generation",41,FALSE,NA,unid,2018-08-06
description: Weekly News in the R Community.,44,FALSE,NA,unid,2018-08-06
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,unid,2018-08-06
---,3,FALSE,NA,unid,2018-08-06
+ [Beyond Basic R - Introduction and Best Practices](https://owi.usgs.gov/blog/intro-best-practices/),101,FALSE,###  Highlight,link,2018-08-06
+ [R Generation: 25 Years of R](http://blog.revolutionanalytics.com/2018/08/r-generation.html),94,FALSE,###  Highlight,link,2018-08-06
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2018-08-06
**CRAN**,8,FALSE,###  New Packages,unid,2018-08-06
+ [bigreadr](https://cran.r-project.org/package=bigreadr): Read large text files by splitting them in smaller parts.,116,FALSE,###  New Packages,link,2018-08-06
+ [June 2018: Top 40 New Packages](https://rviews.rstudio.com/2018/07/29/june-2018-top-40-new-packages/),104,FALSE,###  New Packages,link,2018-08-06
![rtrek](https://raw.githubusercontent.com/rweekly/image/master/2018/rtrek.png),79,FALSE,###  New Packages,image,2018-08-06
"+ [cleandata](https://cran.r-project.org/package=cleandata) - Collection of functions to Inspect, Impute, and Encode Data",121,FALSE,###  New Packages,link,2018-08-06
+ [umapr](https://ropensci.org/blog/2018/08/01/umapr/) - A package for dimensionality reduction of large data,109,FALSE,###  New Packages,link,2018-08-06
![A package for dimensionality reduction of large data](https://raw.githubusercontent.com/rweekly/image/master/2018/dedup.png),126,FALSE,###  New Packages,image,2018-08-06
+ [How Should I Organize My R Research Projects?](https://ntguardian.wordpress.com/2018/08/02/how-should-i-organize-my-r-research-projects/),140,FALSE,### Insights,link,2018-08-06
+ [Beyond Basic R - Introduction and Best Practices](https://owi.usgs.gov/blog/intro-best-practices/),101,FALSE,### Insights,link,2018-08-06
+ [A Certification for R Package Quality](http://blog.revolutionanalytics.com/2018/07/cii-certification-for-r-packages.html),124,FALSE,###  R in Organizations,link,2018-08-06
+ [rstudio::conf 2019 is open for registration!](https://blog.rstudio.com/2018/07/31/rstudio-conf-2019-is-open-for-registration/),129,FALSE,###  R in Organizations,link,2018-08-06
+ [R Generation: 25 Years of R](http://blog.revolutionanalytics.com/2018/08/r-generation.html),94,FALSE,###  R in Organizations,link,2018-08-06
+ [The program for uRos2018 is online](http://www.markvanderloo.eu/yaRb/2018/08/03/the-program-for-uros2018-is-onlline/),120,FALSE,###  R in Organizations,link,2018-08-06
"+ [Thanks, NVIDIA](http://andrewgelman.com/2018/08/01/thanks-nvidia/)",69,FALSE,###  R in Organizations,link,2018-08-06
+ [ALLSTATisticians in decline? A polite look at ALLSTAT email Archives](https://masalmon.eu/2018/07/31/alldatascience/),120,FALSE,### R in the Real World,link,2018-08-06
![ALLSTATisticians in decline? A polite look at ALLSTAT email Archives](https://raw.githubusercontent.com/rweekly/image/master/2018/maillist.png),145,FALSE,### R in the Real World,image,2018-08-06
+ [Data Journalism with R at one of the most important German newspapers](https://github.com/sueddeutsche/rladies-presentation/blob/master/rladies-presentation-brunner-schories.pdf),181,FALSE,### R in the Real World,link,2018-08-06
+ [Using satellite temperature data from the University of Alabama in Huntsville to look at global temperatures over the last 40 years.](https://www.davidkane.info/post/june-2018-global-temperature/),199,FALSE,### R in the Real World,link,2018-08-06
"+ [ggplot ""Doodling"" with HIBP Breaches](https://rud.is/b/2018/07/29/ggplot-doodling-with-hibp-breaches/)",105,FALSE,### R in the Real World,link,2018-08-06
"![ggplot ""Doodling"" with HIBP Breaches](https://raw.githubusercontent.com/rweekly/image/master/2018/hibp-lines.png)",115,FALSE,### R in the Real World,image,2018-08-06
+ [Business confidence and economic growth](http://freerangestats.info/blog/2018/08/01/business-expectations),109,FALSE,### R in the Real World,link,2018-08-06
+ [Playing with the Fitbit API in R](https://obrl-soil.github.io/fitbit-api-r/),79,FALSE,### R in the Real World,link,2018-08-06
+ [When interaction is not interaction: confounding and measurement error](https://malco.io/2018/08/04/interaction-confounding/) - Mismeasuring variables and their covariates can sometimes make it appear as if there's interaction between them when there is not.,261,FALSE,###  Tutorials,link,2018-08-06
+ [Making static and dynamic maps using inlmisc](https://owi.usgs.gov/blog/inlmiscmaps/) - an R package developed by researchers at the United States Geological Survey (USGS) Idaho National Laboratory (INL) Project Office,221,FALSE,###  Tutorials,link,2018-08-06
"+ [Create a cheap, disposable supercomputer with R, DigitalOcean, Docker, and future / furrr](https://www.andrewheiss.com/blog/2018/07/30/disposable-supercomputer-future/)",171,FALSE,###  Tutorials,link,2018-08-06
+ [Encoding and Rendering Grade 1 Braille](https://coolbutuseless.github.io/2018/07/31/encoding-and-rendering-grade-1-braille/),127,FALSE,###  Tutorials,link,2018-08-06
+ [Highlighting with ggplot2: The Old School and New School Way](https://www.littlemissdata.com/blog/highlight),111,FALSE,###  Tutorials,link,2018-08-06
+ [Judging Freehand Circle Drawing Competitions](http://staff.math.su.se/hoehle/blog/2018/07/31/circle.html),108,FALSE,###  Tutorials,link,2018-08-06
+ [About lazy evaluation](https://colinfay.me/lazyeval/),56,FALSE,###  Tutorials,link,2018-08-06
+ [Zooming into GWAS summary statistics](https://sinarueeger.github.io/2018/07/30/locuszoomplot/): How to annotate and visualise summary statistics from genome-wide association studies using the R-package `biomaRt`.,215,FALSE,###  Tutorials,link,2018-08-06
![Zooming into GWAS summary statistics](https://raw.githubusercontent.com/rweekly/image/master/2018/genes.png),110,FALSE,###  Tutorials,image,2018-08-06
+ [A glass shattering book draw with gganimate](https://itsalocke.com/blog/a-glass-shattering-book-draw-with-gganimate/),120,FALSE,###  Tutorials,link,2018-08-06
+ [A quick introduction and tutorial on a cool social network analysis model for influence](https://jrosen48.github.io/blog/social-network-analysis-model-for-influence/),169,FALSE,###  Tutorials,link,2018-08-06
+ [Video: How to run R and Python in SQL Server from a Jupyter notebook](http://blog.revolutionanalytics.com/2018/08/r-python-in-sql-server.html),145,FALSE,###  Tutorials,link,2018-08-06
+ [Solving Statistical Computing Problems with SQL](https://yihui.name/en/2018/07/sql-stats-computing/),103,FALSE,###  Tutorials,link,2018-08-06
+ [The Cool Hacker Emi Tanaka](https://yihui.name/en/2018/07/emi-tanaka/),73,FALSE,###  Tutorials,link,2018-08-06
+ [Two of My Use Cases of Lazy Evaluation](https://yihui.name/en/2018/07/lazy-evaluation/),90,FALSE,###  Tutorials,link,2018-08-06
+ [Saving ts objects as csv files](https://robjhyndman.com/hyndsight/ts2csv/),77,FALSE,###  Tutorials,link,2018-08-06
+ [Exploratory Data Analysis in R (introduction)](https://blog.datascienceheroes.com/exploratory-data-analysis-in-r-intro/),123,FALSE,###  Tutorials,link,2018-08-06
+ [Tuning xgboost in R: Part II](https://insightr.wordpress.com/2018/07/28/tuning-xgboost-in-r-part-ii/),104,FALSE,###  Tutorials,link,2018-08-06
"<!--<div class=""post-more-begi",30,FALSE,###  Tutorials,unid,2018-08-06
"n""></div><div class=""post-more-end""></div>-->",45,FALSE,###  Tutorials,unid,2018-08-06
Events in 3 Months:,19,FALSE,###  Upcoming Events in 3 Months,unid,2018-08-06
+ [SatRday](https://amsterdam2018.satrdays.org/) **Aug 31-Sept 1**<br />,72,FALSE,###  Upcoming Events in 3 Months,link,2018-08-06
"Amsterdam, the Netherlands.",27,FALSE,###  Upcoming Events in 3 Months,unid,2018-08-06
+ [LatinR 2018](http://latin-r.com/) **Sept 4-5** <br />,56,FALSE,###  Upcoming Events in 3 Months,link,2018-08-06
"Buenos Aires, Argentina.",24,FALSE,###  Upcoming Events in 3 Months,unid,2018-08-06
+ [Econometrics and Statistics using R](http://gades-training.com/en/cursos/Econometrics-and-Statistics-Using-R) **Sept 10-14** <br />,134,FALSE,###  Upcoming Events in 3 Months,link,2018-08-06
"Lisbon, Portugal.",17,FALSE,###  Upcoming Events in 3 Months,unid,2018-08-06
+ [This week's local R-User and applied stats events](https://community.rstudio.com/c/irl),90,FALSE,###  Upcoming Events in 3 Months,link,2018-08-06
More past events at [R conferences & meetups](https://conf.rweekly.org).,72,FALSE,###  Upcoming Events in 3 Months,unid,2018-08-06
"<p class=""hide-support added-hostname support-rweekly"" style=""text-align: center;font-weight: bold;"">Your <a class=""non-visited externalLink"" href=""https://www.patreon.com/rweekly"" onclick=""pas(this)"">support</a> will keep R Weekly team moving! 💡</p>",250,FALSE,###  Call for Participation,unid,2018-08-06
"<blockquote class=""twitter-tweet"" data-lang=""en""><p lang=""en"" dir=""ltr"">TIL — You can add tabs in your RMarkdown document by adding `{.tabset}` in your header. All sub-headers will then appear in a tab instead of alone 😎<a href=""https://twitter.com/hashtag/RStats?src=hash&amp;ref_src=twsrc%5Etfw"">#RStats</a> <a href=""https://twitter.com/hashtag/RMarkdown?src=hash&amp;ref_src=twsrc%5Etfw"">#RMarkdown</a> <a href=""https://t.co/4xPEHPph6h"">pic.twitter.com/4xPEHPph6h</a></p>&mdash; Colin Fay 🤘 (@_ColinFay) <a href=""https://twitter.com/_ColinFay/status/1024610845366599680?ref_src=twsrc%5Etfw"">August 1, 2018</a></blockquote>",625,FALSE,###  Quotes of the Week,unid,2018-08-06
"<blockquote class=""twitter-tweet"" data-lang=""en""><p lang=""en"" dir=""ltr"">I try to write low dependency <a href=""https://twitter.com/hashtag/rstats?src=hash&amp;ref_src=twsrc%5Etfw"">#rstats</a> pkgs, but this is only possible b/c R has so much built-in: stats, string manip, low/high level graphics, etc.  And it is stable over time; a bedrock to build on.  Me when I think about it: 🤯.<br><br>Thank you R-Core!</p>&mdash; BrodieG (@BrodieGaslam) <a href=""https://twitter.com/BrodieGaslam/status/1024277658966937600?ref_src=twsrc%5Etfw"">July 31, 2018</a></blockquote>",565,FALSE,###  Quotes of the Week,unid,2018-08-06
