value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2016-9-19
layout: post,12,FALSE,NA,NA,unid,2016-9-19
title: Issue 17,15,FALSE,NA,NA,unid,2016-9-19
description: Weekly News in R Community.,40,FALSE,NA,NA,unid,2016-9-19
---,3,FALSE,NA,NA,unid,2016-9-19
Hello and welcome to the new issue of **R Weekly**!,51,FALSE,NA,NA,unid,2016-9-19
*Digested by R Weekly Members*,30,FALSE,NA,## Highlight,unid,2016-9-19
+ [Why scientists must share their research code](http://www.nature.com/news/why-scientists-must-share-their-research-code-1.20504) - Reproducibility editor Victoria Stodden explains the growing movement to make code and data available to others.,246,FALSE,NA,## Highlight,link,2016-9-19
"+ [Shiny 0.14](https://blog.rstudio.org/2016/09/12/shiny-0-14/) - Bookmarkable state, notifications, progress indicators, modal windows and more.",145,FALSE,NA,## Highlight,link,2016-9-19
+ [Setting up RStudio in the cloud on Amazon Web Services](http://strimas.com/r/rstudio-cloud-1/),97,FALSE,NA,## Highlight,link,2016-9-19
"+ [Pitfalls in Writing Portable C++98 Code](http://kevinushey.github.io/blog/2016/09/14/pitfalls-in-writing-portable-c++98-code/) - I’ve now made enough submissions to CRAN that have crashed and burned on Solaris, that I think it’s now time to put some of the pitfalls I’ve bumped into in writing.",297,FALSE,NA,#### Tutorials,link,2016-9-19
+ [How to download new Census data with R](http://www.computerworld.com/article/3120415/data-analytics/how-to-download-new-census-data-with-r.html) - 2015 American Community Survey data is out. Here's how to get the data you want using R.,238,FALSE,NA,#### Tutorials,link,2016-9-19
+ [Titanic: Getting Started With R](http://trevorstephens.com/kaggle-titanic-tutorial/getting-started-with-r/) - Step-by-step: Getting Started With R.,150,FALSE,NA,#### Tutorials,link,2016-9-19
+ [Setting up RStudio in the cloud on Amazon Web Services](http://strimas.com/r/rstudio-cloud-1/),97,FALSE,NA,#### Tutorials,link,2016-9-19
+ [How I made some Pokémon Business Cards](http://www.sumsar.net/blog/2016/09/how-i-made-some-pokemon-business-cards/),118,FALSE,NA,#### Tutorials,link,2016-9-19
![How I made some Pokémon Business Cards](https://img.vim-cn.com/9e/7ea561c715d66f99bf805dca4d27d209b59308.jpg),111,FALSE,NA,#### Tutorials,image,2016-9-19
+ [mlr loves OpenML](http://mlr-org.github.io/mlr-loves-OpenML/),64,FALSE,NA,#### Tutorials,link,2016-9-19
+ [From Jupyter Notebooks to R Markdown](http://danielphadley.com/Jupyter-to-Rmarkdown/),88,FALSE,NA,#### Tutorials,link,2016-9-19
+ [Statistics with TSQL and R: Chi Square Test](https://curiousaboutdata.com/2016/09/13/statistics-chi-square-test/),116,FALSE,NA,#### Tutorials,link,2016-9-19
+ [Why you need version control](http://ellisp.github.io/blog/2016/09/16/version-control),89,FALSE,NA,#### Tutorials,link,2016-9-19
+ [Monitoring R Applications with RZabbix](http://r-addict.com/2016/09/15/RZabbix-Announcement.html),100,FALSE,NA,#### Tutorials,link,2016-9-19
+ [Forecasting Opportunities](http://www.quintuitive.com/2016/09/13/forecasting-opportunities/) - Forecasting trading opportunities with R.,139,FALSE,NA,#### Tutorials,link,2016-9-19
+ [Creating an animation using R](http://datascienceplus.com/creating-an-animation-using-r/),92,FALSE,NA,#### Tutorials,link,2016-9-19
+ [Turning keywords into a co-occurrence network](http://f.briatte.org/r/turning-keywords-into-a-co-occurrence-network),119,FALSE,NA,#### Tutorials,link,2016-9-19
![Turning keywords into a co-occurrence network](https://i1.wp.com/f.briatte.org/r/images/turning-keywords-into-a-co-occurrence-network.png),140,FALSE,NA,#### Tutorials,image,2016-9-19
+ [R with Parallel Computing from User Perspectives](http://www.parallelr.com/r-with-parallel-computing/),105,FALSE,NA,#### Tutorials,link,2016-9-19
