value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2016-9-26
layout: post,12,FALSE,NA,NA,unid,2016-9-26
title: Issue 18,15,FALSE,NA,NA,unid,2016-9-26
description: Weekly News in R Community.,40,FALSE,NA,NA,unid,2016-9-26
---,3,FALSE,NA,NA,unid,2016-9-26
Hello and welcome to the new issue of **R Weekly**!,51,FALSE,NA,NA,unid,2016-9-26
*Digested by R Weekly Members*,30,FALSE,NA,## Highlight,unid,2016-9-26
+ [Quora Session with Hadley Wickham](https://www.quora.com/session/Hadley-Wickham/1),85,FALSE,NA,## Highlight,link,2016-9-26
+ [A Gentle Introduction to XGBoost for Applied Machine Learning](http://machinelearningmastery.com/gentle-introduction-xgboost-applied-machine-learning/),154,FALSE,NA,## Highlight,link,2016-9-26
+ [Learning Path : Step by Step Guide for Beginners to Learn SparkR](https://www.analyticsvidhya.com/blog/2016/06/learning-path-step-step-guide-beginners-learn-sparkr/),168,FALSE,NA,#### Tutorials,link,2016-9-26
+ [Analyzing Risk-Managed Funds With R](https://www.hvst.com/posts/71410-analyzing-risk-managed-funds-with-r),109,FALSE,NA,#### Tutorials,link,2016-9-26
+ [How to choose the right tool for your data science project](http://blog.revolutionanalytics.com/2016/09/choose-the-right-tool.html),134,FALSE,NA,#### Tutorials,link,2016-9-26
+ [R Markdown: How to number and reference tables](http://datascienceplus.com/r-markdown-how-to-number-and-reference-tables/),125,FALSE,NA,#### Tutorials,link,2016-9-26
"+ [Relative error distributions, without the heavy tail theatrics](https://www.r-bloggers.com/relative-error-distributions-without-the-heavy-tail-theatrics/)",157,FALSE,NA,#### Tutorials,link,2016-9-26
+ [An R Function for Generating Authenticated URLs to Private Web Sites Hosted on AWS S3](https://alexioannides.com/2016/09/19/an-r-function-for-generating-authenticated-urls-to-private-web-sites-hosted-on-aws-s3/),214,FALSE,NA,#### Tutorials,link,2016-9-26
+ [ggtree for outbreak data](https://guangchuangyu.github.io/2016/09/ggtree-for-outbreak-data),94,FALSE,NA,#### Tutorials,link,2016-9-26
![ggtree for outbreak data](https://i1.wp.com/guangchuangyu.github.io/blog_images/Bioconductor/ggtree/2016-ggtree-OutbreakTools_files/unnamed-chunk-1-1.png?w=456&ssl=1),168,FALSE,NA,#### Tutorials,image,2016-9-26
+ [Running a model on separate groups](http://drsimonj.svbtle.com/running-a-model-on-separate-groups),101,FALSE,NA,#### Tutorials,link,2016-9-26
+ [Running multiple simple regressions with purrr](https://sebastiansauer.github.io/multiple-lm-purrr2/),104,FALSE,NA,#### Tutorials,link,2016-9-26
+ [A few thoughts on the existing code parallelization](http://www.vesnam.com/Rblog/existing-code-parallelization-yes-or-no/),125,FALSE,NA,#### Tutorials,link,2016-9-26
+ [How to add pbapply to R packages](http://peter.solymos.org/code/2016/09/16/how-to-add-pbapply-to-r-packages.html),116,FALSE,NA,#### Tutorials,link,2016-9-26
