value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2017-05-22
layout: post,12,FALSE,NA,unid,2017-05-22
"title: R Weekly 2017-21 New York R, tidyeval, R Memes",53,FALSE,NA,unid,2017-05-22
description: Weekly News in the R Community.,44,FALSE,NA,unid,2017-05-22
---,3,FALSE,NA,unid,2017-05-22
+ [New York R Conference Videos](http://www.rstats.nyc/2017),60,FALSE,###  Highlight,link,2017-05-22
"+ [How I Find, Manage, and Use GIFs ](https://yihui.name/en/2017/05/gifs/)",74,FALSE,###  Highlight,link,2017-05-22
+ [Making Sense of dplyr 0.6](http://www.json.blog/2017/05/making-sense-of-dplyr-0.6/),86,FALSE,###  Highlight,link,2017-05-22
+ [Improving DBI: A Retrospect](https://www.r-consortium.org/blog/2017/05/15/improving-dbi-a-retrospect),104,FALSE,###  Insights,link,2017-05-22
+ [How we built Tagger News: machine learning on a tight schedule](http://varianceexplained.org/programming/tagger-news/),121,FALSE,###  Insights,link,2017-05-22
+ [Review of Efficient R Programming](https://rviews.rstudio.com/2017/05/19/efficient_r_programming/),101,FALSE,###  Insights,link,2017-05-22
"+ [How I Find, Manage, and Use GIFs ](https://yihui.name/en/2017/05/gifs/)",74,FALSE,###  Insights,link,2017-05-22
"+ [When in Doubt, Upgrade ](https://yihui.name/en/2017/05/when-in-doubt-upgrade/)",81,FALSE,###  Insights,link,2017-05-22
+ [Making Sense of dplyr 0.6](http://www.json.blog/2017/05/making-sense-of-dplyr-0.6/),86,FALSE,###  Insights,link,2017-05-22
"+ [Gentle non-standard evaluation in dplyr 0.6](https://alexpghayes.github.io/2017/gentle-non-standard-evaluation-in-dplyr-0-6/) - Code samples for common idioms in dplyr 0.6, get going with minimum fuss.",204,FALSE,###  Insights,link,2017-05-22
+ [The Case of the Vanishing Log Files](https://ironholds.org/shiny-in-docker/),79,FALSE,###  R in the Real World,link,2017-05-22
+ [Step-by-Step Choropleth Map in R: A case of mapping Nepal](https://medium.com/@anjesh/step-by-step-choropleth-map-in-r-a-case-of-mapping-nepal-7f62a84078d9),159,FALSE,###  R in the Real World,link,2017-05-22
![Step-by-Step Choropleth Map in R: A case of mapping Nepal](https://cdn-images-1.medium.com/max/800/1*nXWOLkkaxpvhG-NmmcxYSQ.png),130,FALSE,###  R in the Real World,image,2017-05-22
+ [Where Europeans live](https://robwhickman.github.io/2017/05/18/where-europeans-live/),88,FALSE,###  R in the Real World,link,2017-05-22
+ [R in Financial Services: Challenges and Opportunities](http://blog.revolutionanalytics.com/2017/05/r-in-financial-services-presentation.html),144,FALSE,###  R in the Real World,link,2017-05-22
"+ [The history of the universe, in 20 minutes](http://blog.revolutionanalytics.com/2017/05/the-history-of-the-universe-in-20-minutes.html)",138,FALSE,###  R in the Real World,link,2017-05-22
+ [Network analysis of Game of Thrones family ties](https://shirinG.github.io/networks/2017/05/15/got_final),108,FALSE,###  R in the Real World,link,2017-05-22
+ [State house price growth trends: animated ribbon dataviz](http://lenkiefer.github.io/2017/05/18/state-hpa),109,FALSE,###  R in the Real World,link,2017-05-22
+ [Upcoming Rcpp Talks](http://dirk.eddelbuettel.com/blog/2017/05/16#rcpp_talks_summer_2017),92,FALSE,###  R in Organizations,link,2017-05-22
"+ [Call for Conference Buddies at UseR!2017 Forwards and R-Ladies Session July 3, 2017](https://user2017.brussels/news/2017/forwards-and-r-ladies-session-monday-3-july) - [Participate in the poll](https://user2017.typeform.com/to/Gj4M3H).  ",240,FALSE,###  R in Organizations,link,2017-05-22
+ [R/Finance 2017: Live streamed](https://event.microsoft.com/events/2017/1705/RFinance/),89,FALSE,###  Videos and Podcasts,link,2017-05-22
+ [This Week in Microbiology  #149: You're going to learn R](http://www.microbeworld.org/podcasts/this-week-in-microbiology/archives/2265-twim-149-you-re-going-to-learn-r),171,FALSE,###  Videos and Podcasts,link,2017-05-22
+ [New York R Conference Videos](http://www.rstats.nyc/2017),60,FALSE,###  Videos and Podcasts,link,2017-05-22
+ [magrittr](http://magrittr.tidyverse.org/) - New website for the magrittr package,83,FALSE,###  Resources,link,2017-05-22
+ [An Introduction to Spatial Data Analysis and Visualization in R](https://data.cdrc.ac.uk/tutorial/an-introduction-to-spatial-data-analysis-and-visualisation-in-r),165,FALSE,###  Resources,link,2017-05-22
