value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2016-10-17
layout: post,12,FALSE,NA,NA,unid,2016-10-17
title: Issue 21,15,FALSE,NA,NA,unid,2016-10-17
description: Weekly News in R Community.,40,FALSE,NA,NA,unid,2016-10-17
---,3,FALSE,NA,NA,unid,2016-10-17
Hello and welcome to the new issue of **R Weekly**!,51,FALSE,NA,NA,unid,2016-10-17
*Digested by R Weekly Members*,30,FALSE,NA,## Highlight,unid,2016-10-17
+ [Interview with RStudio Founder J.J. Allaire ](https://www.rstudio.com/2016/10/12/interview-with-j-j-allaire/),112,FALSE,NA,## Highlight,link,2016-10-17
+ [Plotly R Cheat Sheet](https://images.plot.ly/plotly-documentation/images/r_cheat_sheet.pdf),94,FALSE,NA,## Highlight,link,2016-10-17
+ [Moving data between R and Excel via the clipboard](http://www.johndcook.com/blog/r_excel_clipboard/),103,FALSE,NA,#### Tutorials,link,2016-10-17
+ [Find Me a Venture Capitalist](http://asbcllc.com/r_packages/fundManageR/tutorials/2016/find_me_a_vc/index.html) - This tutorial demonstrates how fundManageR can be used to explore venture capital firms.,205,FALSE,NA,#### Tutorials,link,2016-10-17
+ [reproducible logo generated by ggtree](https://guangchuangyu.github.io/2016/10/reproducible-logo-generated-by-ggtree),120,FALSE,NA,#### Tutorials,link,2016-10-17
+ [Make tilegrams in R with tilegramsR](http://blog.revolutionanalytics.com/2016/10/tilegrams-in-r.html),104,FALSE,NA,#### Tutorials,link,2016-10-17
![Make tilegrams in R with tilegramsR](https://revolution-computing.typepad.com/.a/6a010534b1db25970b01b7c89fa586970b-800wi),124,FALSE,NA,#### Tutorials,image,2016-10-17
+ [Eight (not 10) things an R user will find frustrating when trying to learn Python](http://www.mango-solutions.com/wp/2016/10/eight-not-10-things-an-r-user-will-find-frustrating-when-trying-to-learn-python/),209,FALSE,NA,#### Tutorials,link,2016-10-17
"+ [Tutorial: Scalable R on Spark with SparkR, sparklyr and RevoScaleR](http://blog.revolutionanalytics.com/2016/10/tutorial-scalable-r-on-spark.html)",149,FALSE,NA,#### Tutorials,link,2016-10-17
+ [3 Reasons to Learn Caret](http://www.datacamp.com/community/blog/3-reasons-to-learn-caret),93,FALSE,NA,#### Tutorials,link,2016-10-17
+ [Movies and Series subtitles in R with subtools](http://www.pieceofk.fr/?p=437),81,FALSE,NA,#### Tutorials,link,2016-10-17
+ [Make ggplot graphics2 interactive with ggiraph](http://blog.revolutionanalytics.com/2016/10/make-ggplot-graphics2-interactive-with-ggiraph.html),147,FALSE,NA,#### Tutorials,link,2016-10-17
+ [Mapping (historic) tracks in ggplot2](http://spatial.ly/2016/10/mapping-historic-tracks-ggplot2/),100,FALSE,NA,#### Tutorials,link,2016-10-17
![Mapping (historic) tracks in ggplot2](https://i2.wp.com/spatial.ly/wp-content/uploads/2012/03/Spain_shipping.png),115,FALSE,NA,#### Tutorials,image,2016-10-17
+ [Streamline your analyses linking R to SAS: the workfloweR experiment](http://datascienceplus.com/streamline-your-analyses-linking-r-to-sas/),143,FALSE,NA,#### Tutorials,link,2016-10-17
+ [R’s Testing Predicament](http://www.mango-solutions.com/wp/2016/10/rs-testing-predicament/),94,FALSE,NA,#### Tutorials,link,2016-10-17
+ [Cartograms with R](http://staff.math.su.se/hoehle/blog/2016/10/10/cartograms.html),85,FALSE,NA,#### Tutorials,link,2016-10-17
![Cartograms with R](https://cdn.rawgit.com/hoehleatsu/hoehleatsu.github.io/b11a59c0cbb092af0831162dc4e94413070702d0/figure/source/2016-10-10-cartograms/CARTOGRAM-1.png),169,FALSE,NA,#### Tutorials,image,2016-10-17
+ [Getting data into R](http://garthtarr.com/getting-data-into-r/),66,FALSE,NA,#### Tutorials,link,2016-10-17
+ [Map-making with R and electionsBR](http://robertmyles.github.io/ElectionsBR.html),84,FALSE,NA,#### R in the Real World,link,2016-10-17
![Map-making with R and electionsBR](https://i.imgur.com/jXKjZgG.jpg),69,FALSE,NA,#### R in the Real World,image,2016-10-17
+ [See rivers respond to Hurricane Matthew along the eastern seaboard](https://owi.usgs.gov/vizlab/hurricane-matthew/),118,FALSE,NA,#### R in the Real World,link,2016-10-17
+ [Global Temp: Geo-Spatial Records over Time](http://data-steve.github.io/glob-temp-data-pt1/),95,FALSE,NA,#### R in the Real World,link,2016-10-17
![Global Temp: Geo-Spatial Records over Time](https://i1.wp.com/data-steve.github.io/images/animated.gif?w=456),111,FALSE,NA,#### R in the Real World,image,2016-10-17
