value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2019-03-25
"title: R Weekly 2019-12 Pivoting, Parliament, brickr",52,FALSE,NA,unid,2019-03-25
description: Weekly News in the R Community.,44,FALSE,NA,unid,2019-03-25
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,unid,2019-03-25
---,3,FALSE,NA,unid,2019-03-25
+ [Pivoting in tidyr](https://tidyr.tidyverse.org/dev/articles/pivot.html),74,FALSE,###  Highlight,link,2019-03-25
"+ [R data.table case study (tutorial) for World Bank ""Women in Parliament"" data.](https://github.com/saghirb/WiP-rdatatable)",124,FALSE,###  Highlight,link,2019-03-25
+ [brickr](https://github.com/ryantimpe/brickr) - 3D LEGO models and mosaics from images using R and #tidyverse,111,FALSE,###  Highlight,link,2019-03-25
+ [R-Podcast Episode 29 (Chicago R Unconference)](https://r-podcast.org/29): Eric visits the first-ever Chicago R Unconference and recaps the excellent projects and shares his perspective as a first-time unconference attendee.,226,FALSE,###  Videos and Podcasts,link,2019-03-25
+ [Code and Data in a large Machine Learning project](https://edwinth.github.io/multiperson-project/),101,FALSE,### Insights,link,2019-03-25
+ [Pivoting in tidyr](https://tidyr.tidyverse.org/dev/articles/pivot.html),74,FALSE,### Insights,link,2019-03-25
+ [Understanding the complexity of TED talks using readability formulas calculated using koRpus](https://www.granvillematheson.com/post/tedreadability/),152,FALSE,### Insights,link,2019-03-25
+ [Copyright in Closed-Source R Packages: The Right Way](https://unconj.ca/blog/copyright-in-closed-source-r-packages-the-right-way.html),137,FALSE,### Insights,link,2019-03-25
+ [That's Not My Name!](http://adfi.gitlab.io/2019/03/15/thats-not-my-name/),76,FALSE,### R in the Real World,link,2019-03-25
"+ [R data.table case study (tutorial) for World Bank ""Women in Parliament"" data.](https://github.com/saghirb/WiP-rdatatable)",124,FALSE,### R in the Real World,link,2019-03-25
+ [AFL teams Elo ratings and footy-tipping](http://freerangestats.info/blog/2019/03/23/afl-elo),95,FALSE,### R in the Real World,link,2019-03-25
![AFL teams Elo ratings and footy-tipping](https://raw.githubusercontent.com/rweekly/image/master/2019/afl.png),111,FALSE,### R in the Real World,image,2019-03-25
+ [Texas Housing Prices:  flatly theme](https://elastic-lovelace-155848.netlify.com/gallery/themes/flatly.html),111,FALSE,### R in the Real World,link,2019-03-25
+ [generativeart Crochet Patterns: This code combines Crochets patterns from @aschinchon/fronkonstin with the R-package generativeart. ](https://github.com/cutterkom/generativeart-crochet-patterns),197,FALSE,### R in the Real World,link,2019-03-25
![generativeart Crochet Patterns: This code combines Crochets patterns from @aschinchon/fronkonstin with the R-package generativeart. ](https://raw.githubusercontent.com/rweekly/image/master/2019/generated-art.png),214,FALSE,### R in the Real World,image,2019-03-25
"+ [AI, Machine Learning and Data Science Roundup: March 2019](https://blog.revolutionanalytics.com/2019/03/airoundup-march-2019.html)",133,FALSE,###  Resources,link,2019-03-25
+ [ gganimate ](https://mitchelloharawild.com/wombat-gganimate/#1) - The grammar of animation,93,FALSE,###  Resources,link,2019-03-25
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2019-03-25
**CRAN**,8,FALSE,###  New Packages,unid,2019-03-25
+ [ggpomological ](https://www.garrickadenbuie.com/project/ggpomological/) - A Pomological ggplot2 Theme,104,FALSE,###  New Packages,link,2019-03-25
Garrick Aden-Buie,17,FALSE,###  New Packages,unid,2019-03-25
![ggpomological](https://raw.githubusercontent.com/rweekly/image/master/2019/ggpomological.png),95,FALSE,###  New Packages,image,2019-03-25
**GitHub or Bitbucket**,23,FALSE,###  New Packages,unid,2019-03-25
+ [ggecho](https://coolbutuseless.github.io/2019/03/22/ggecho-an-experimental-ggplot-stat-for-blurring-elements/)  - an experimental ggplot stat for blurring elements,166,FALSE,###  New Packages,link,2019-03-25
+ [renv](https://github.com/rstudio/renv) - Project environments for R.,71,FALSE,###  New Packages,link,2019-03-25
+ [brickr](https://github.com/ryantimpe/brickr) - 3D LEGO models and mosaics from images using R and #tidyverse,111,FALSE,###  New Packages,link,2019-03-25
![brickr](https://raw.githubusercontent.com/rweekly/image/master/2019/bricks_6-1.png),85,FALSE,###  New Packages,image,2019-03-25
+ [pointdexter 0.1.1](https://github.com/cenuno/pointdexter) - Labels longitudinal and latitudinal coordinates located inside a polygon,135,FALSE,### Updated Packages,link,2019-03-25
"<img src=""https://raw.githubusercontent.com/rweekly/image/master/2019/pointdex.png"" align=""middle"" width=""200""/>",112,FALSE,### Updated Packages,unid,2019-03-25
+ [doFuture  0.8.0](https://cran.r-project.org/package=doFuture) - A Universal Foreach Parallel Adapter using the Future API of the 'future' Package,148,FALSE,### Updated Packages,link,2019-03-25
+ [RStudio Connect 1.7.2](https://blog.rstudio.com/2019/03/22/announcing-rstudio-connect-1-7-2/),96,FALSE,### Updated Packages,link,2019-03-25
+ [RcppArmadillo 0.9.300.2.0](http://dirk.eddelbuettel.com/blog/2019/03/22#rcpparmadillo_0.9.300.2.0),101,FALSE,### Updated Packages,link,2019-03-25
+ [Rcpp 1.0.1](http://dirk.eddelbuettel.com/blog/2019/03/17#rcpp_1.0.1),71,FALSE,### Updated Packages,link,2019-03-25
+ [RQuantLib 0.4.8](http://dirk.eddelbuettel.com/blog/2019/03/17#rquantlib_0.4.8),81,FALSE,### Updated Packages,link,2019-03-25
+ [AnalizaR Datos Políticos: libro online y gratuito sobre el uso de R y el tidyverse en ciencia política. Pensado para estudiantes y profesionales de Latinoamérica.](https://arcruz0.github.io/libroadp/),203,FALSE,### R Internationally,link,2019-03-25
+ [Assumptions Matter More Than Dependencies](https://rud.is/b/2019/03/19/assumptions-matter-more-than-dependencies/),117,FALSE,###  Tutorials,link,2019-03-25
+ [Intro to Heroku with R/Python](https://meysubb.github.io/sports%20analytics/2019/03/14/Heroku/),98,FALSE,###  Tutorials,link,2019-03-25
+ [Pivoting data frames just got easier thanks to `pivot_wide()` and `pivot_long()`](https://www.brodrigues.co/blog/2019-03-20-pivot/),134,FALSE,###  Tutorials,link,2019-03-25
+ [Access the free economic database DBnomics with R](https://macro.nomics.world/article/2019-03/rdbnomics-tutorial/),117,FALSE,###  Tutorials,link,2019-03-25
+ [hrsample package and database](http://harry.ahlas.com/2019/03/17/hrsample-database/index.html),97,FALSE,###  Tutorials,link,2019-03-25
+ [The new Jobs pane in the RStudio 1.2 Preview lets you run your R scripts in the background.](https://blog.rstudio.com/2019/03/14/rstudio-1-2-jobs/),150,FALSE,###  Tutorials,link,2019-03-25
+ [awtools](https://austinwehrwein.com/data-visualization/awtoolsdisaster/) - Visualizing Natural Disaster Cost,111,FALSE,###  Tutorials,link,2019-03-25
![awtools](https://raw.githubusercontent.com/rweekly/image/master/2019/awtools.png),83,FALSE,###  Tutorials,image,2019-03-25
"+ [Introducing vistributions, an R package for visually exploring probability distributions. Includes shiny app for interactive visualization.](https://blog.rsquaredacademy.com/introducting-vistributions/)",205,FALSE,###  Tutorials,link,2019-03-25
+ [wrapr::let()](http://www.win-vector.com/blog/2019/03/wraprlet/),66,FALSE,###  Tutorials,link,2019-03-25
"+ [How to create professional reports from R scripts, with custom styles.](https://jozefhajnala.gitlab.io/r/r913-spin-with-style/)",130,FALSE,###  Tutorials,link,2019-03-25
+ [group_map() in dplyr 0.8.1 (still in development)](https://coolbutuseless.github.io/2019/03/17/group_map-in-dplyr-0.8.1-still-in-development/),145,FALSE,###  Tutorials,link,2019-03-25
+ [Handling & Sharing PCAPs Like a Boss with PacketTotal](https://rud.is/b/2019/03/17/handling-sharing-pcaps-like-a-boss-with-packettotal/),139,FALSE,###  Tutorials,link,2019-03-25
+ [A Blogdown New Post Workflow with Github and Netlify](https://www.garrickadenbuie.com/blog/blogdown-netlify-new-post-workflow/),130,FALSE,###  Tutorials,link,2019-03-25
+ [Quantifying R Package Dependency Risk](http://www.win-vector.com/blog/2019/03/quantifying-r-package-dependency-risk/),120,FALSE,###  Tutorials,link,2019-03-25
+ [drake transformed](https://ropensci.org/technotes/2019/03/18/drake-700/),75,FALSE,###  Tutorials,link,2019-03-25
