value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2019-02-25
"title: R Weekly 2019-08 No Warranty, Weather",44,FALSE,NA,unid,2019-02-25
description: Draft of the R Weekly,34,FALSE,NA,unid,2019-02-25
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,unid,2019-02-25
---,3,FALSE,NA,unid,2019-02-25
+ [Absolutely No Warranty](https://notstatschat.rbind.io/2019/02/18/absolutely-no-warranty/),92,FALSE,###  Highlight,link,2019-02-25
+ [forcats::fct_match](https://jcarroll.com.au/2019/02/22/forcatsfct_match/),76,FALSE,###  Highlight,link,2019-02-25
+ [Where are the places with the best (and the worst) weather in the United States](https://taraskaduk.com/2019/02/18/weather/),127,FALSE,###  Highlight,link,2019-02-25
+ [Interview with Stephanie Hicks](https://simplystatistics.org/2019/02/18/interview-with-stephanie-hicks/),107,FALSE,### Insights,link,2019-02-25
+ [Open letter to journal editors: dynamite plots must die](https://simplystatistics.org/2019/02/21/dynamite-plots-must-die/),125,FALSE,### Insights,link,2019-02-25
![Open letter to journal editor](https://cdn.jsdelivr.net/gh/rweekly/image/2019/ridge-plots-with-data-1-dynam.png),114,FALSE,### Insights,image,2019-02-25
+ [Notes on porting Ruby to R](https://recology.info/2019/02/ruby-ports-to-r/),78,FALSE,### Insights,link,2019-02-25
+ [Conquering Caffeinated Amazon Athena with the metis Trio of Packages](https://rud.is/b/2019/02/17/conquering-caffeinated-amazon-athena-with-the-metis-trio-of-packages/),171,FALSE,### Insights,link,2019-02-25
+ [forcats::fct_match](https://jcarroll.com.au/2019/02/22/forcatsfct_match/),76,FALSE,### Insights,link,2019-02-25
+ [Absolutely No Warranty](https://notstatschat.rbind.io/2019/02/18/absolutely-no-warranty/),92,FALSE,### Insights,link,2019-02-25
+ [The Ultimate Infinite Moon Reader for xaringan Slides](https://yihui.name/en/2019/02/ultimate-inf-mr/),105,FALSE,### Insights,link,2019-02-25
![The Ultimate Infinite](https://cdn.jsdelivr.net/gh/rweekly/image/2019/inf-mr.gif),83,FALSE,### Insights,image,2019-02-25
+ [Visualize Language Loss in Taiwan: Create an “Age-Sex Pyramid of Language” with ggplot2](https://liao961120.github.io/2019/02/17/visualize-language-loss.html),161,FALSE,### R in the Real World,link,2019-02-25
+ [Where are the places with the best (and the worst) weather in the United States](https://taraskaduk.com/2019/02/18/weather/),127,FALSE,### R in the Real World,link,2019-02-25
![Where are the places](https://cdn.jsdelivr.net/gh/rweekly/image/2019/weather-19.png),86,FALSE,### R in the Real World,image,2019-02-25
+ [discog-purrr](https://sharla.party/posts/discog-purrr/),58,FALSE,### R in the Real World,link,2019-02-25
+ [An Empirical Analysis of RuPaul's Drag Race Contestants](http://svmiller.com/blog/2019/02/dragracer-rupauls-drag-race-analysis/),131,FALSE,### R in the Real World,link,2019-02-25
+ [R for Political Data Science Week 8: Four Parties in America? Probably Not Anytime Soon.](https://www.thecrosstab.com/2019/02/22/four-parties/),146,FALSE,### R in the Real World,link,2019-02-25
![R for Political Data Science ](https://cdn.jsdelivr.net/gh/rweekly/image/2019/four-part.png),94,FALSE,### R in the Real World,image,2019-02-25
+ [Seasonality in NZ voting preference?](http://freerangestats.info/blog/2019/02/20/voting-seasonality),103,FALSE,### R in the Real World,link,2019-02-25
"+ [LEGO mosaics, Part 3(D)](http://www.ryantimpe.com/post/lego-mosaic3/)",72,FALSE,### R in the Real World,link,2019-02-25
![LEGO mosaics](https://cdn.jsdelivr.net/gh/rweekly/image/2019/lego.png),72,FALSE,### R in the Real World,image,2019-02-25
+ [Visualisation of Squiggle Tipsters](https://analysisofafl.netlify.com/fitzroy/2018-05-18-visualisation-of-squiggle-tipsters/),128,FALSE,### R in the Real World,link,2019-02-25
+ [“Correlation is not causation”. So what is?](https://iyarlin.github.io/2019/02/08/correlation-is-not-causation-so-what-is/),126,FALSE,### R in the Real World,link,2019-02-25
"+ [Meetup API tracking in R - Analytics>Forward in RTP, NC](https://rickpackblog.wordpress.com/2019/02/13/analyticsforward-2019-meetup-api-tracking-in-r-pt-1/) - [Part 1](https://rickpackblog.wordpress.com/2019/02/13/analyticsforward-2019-meetup-api-tracking-in-r-pt-1/) and [Part 2](http://bit.ly/2GBTPjA)",306,FALSE,###  R in Organizations,link,2019-02-25
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2019-02-25
**CRAN**,8,FALSE,###  New Packages,unid,2019-02-25
"+ [sen2r](https://luigi.ranghetti.info/post/sen2r-released/) - R toolbox to find, download and preprocess Sentinel-2 data",121,FALSE,###  New Packages,link,2019-02-25
"+ [CBRT](http://users.metu.edu.tr/etaymaz/cbrt-2019.html) - Easy access to the CBRT database, provides functions for finding, and downloading more than 22,000 time series from the Central Bank of the Republic of Turkey's database.",230,FALSE,###  New Packages,link,2019-02-25
**GitHub or Bitbucket**,23,FALSE,###  New Packages,unid,2019-02-25
+ [Package for deep feature extraction from images and natural language text](https://github.com/basilica-ai/basilica-R-client),127,FALSE,###  New Packages,link,2019-02-25
+ [Encryptr](https://www.datasurg.net/2019/02/21/encryptr-package-easily-encrypt-and-decrypt-columns-of-sensitive-data/) - easily encrypt and decrypt columns of sensitive data,175,FALSE,###  New Packages,link,2019-02-25
+ [ssh 0.4](https://ropensci.org/technotes/2019/02/22/ssh-04/) - The ssh package provides a native ssh client for R.,116,FALSE,### Updated Packages,link,2019-02-25
