value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2016-9-12
layout: post,12,FALSE,NA,NA,unid,2016-9-12
title: Issue 16,15,FALSE,NA,NA,unid,2016-9-12
description: Weekly News in R Community.,40,FALSE,NA,NA,unid,2016-9-12
---,3,FALSE,NA,NA,unid,2016-9-12
Hello and welcome to the new issue of **R Weekly**!,51,FALSE,NA,NA,unid,2016-9-12
*Digested by R Weekly Members*,30,FALSE,NA,## Highlight,unid,2016-9-12
"+ [The R Journal, Volume 8, Issue 1](https://journal.r-project.org/archive/2016-1/)",83,FALSE,NA,## Highlight,link,2016-9-12
+ [tidyverse](https://github.com/hadley/tidyverse) - Easily install and load packages from the tidyverse.,105,FALSE,NA,## Highlight,link,2016-9-12
+ [Custom Styling for htmlwidgets](http://www.buildingwidgets.com/blog/2016/9/7/custom-styling-for-htmlwidgets),111,FALSE,NA,#### Tutorials,link,2016-9-12
+ [Using googlesheets and mailR packages in R to automate reporting](https://medium.com/airbnb-engineering/using-googlesheets-and-mailr-packages-in-r-to-automate-reporting-c09579e0377f#.2mbulw257),196,FALSE,NA,#### Tutorials,link,2016-9-12
+ [Build your own neural network classifier in R](http://junma5.weebly.com/data-blog/build-your-own-neural-network-classifier-in-r),131,FALSE,NA,#### Tutorials,link,2016-9-12
![Build your own neural network classifier in R](https://junma5.weebly.com/uploads/4/6/5/1/46519751/1241933_orig.png),117,FALSE,NA,#### Tutorials,image,2016-9-12
"+ [Mirror, mirror on the wall Who's the fastest of them all](http://blog.eighty20.co.za//package%20exploration/2016/09/04/Mirror-Mirror/)",137,FALSE,NA,#### Tutorials,link,2016-9-12
+ [Tidying computational biology models with biobroom: a case study in tidy analysis](http://varianceexplained.org/r/tidy-genomics-biobroom/),141,FALSE,NA,#### Tutorials,link,2016-9-12
+ [IBM Data Science Experience:  First steps with yorkr](https://gigadom.wordpress.com/2016/09/04/ibm-data-science-experience-first-steps-with-yorkr/),150,FALSE,NA,#### Tutorials,link,2016-9-12
+ [Showing a different approach to making statistical tests](https://privefl.github.io/blog/Showing-a-different-approach-to-making-statistical-tests/),150,FALSE,NA,#### Tutorials,link,2016-9-12
![Showing a different approach to making statistical tests](https://privefl.github.io/blog/knitr_files/post-tests_files/figure-html/unnamed-chunk-8-1.png),154,FALSE,NA,#### Tutorials,image,2016-9-12
+ [Analyze pull requests and Travis builds using Rperform](https://techandmortals.wordpress.com/2016/09/05/analyze-pull-requests-and-travis-builds-using-rperform/),163,FALSE,NA,#### Tutorials,link,2016-9-12
+ [GoodReads: Webscraping and Text Analysis with R (Part 1)](http://datascienceplus.com/goodreads-webscraping-and-text-analysis-with-r-part-1/),143,FALSE,NA,#### Tutorials,link,2016-9-12
+ [Software engineering data sets](http://shape-of-code.coding-guidelines.com/2016/09/05/software-engineering-data-sets/),121,FALSE,NA,#### Tutorials,link,2016-9-12
+ [R Programming – Pitfalls to avoid (Part 1)](http://datascienceplus.com/r-programming-pitfalls-to-avoid-part-1/),114,FALSE,NA,#### Tutorials,link,2016-9-12
+ [MinechaRts #1 (Minecraft + R + Edgar Anderson’s Iris Data)](http://smarterpoland.pl/index.php/2016/09/minecharts-1-minecraft-r-edgar-andersons-iris-data/),157,FALSE,NA,#### Tutorials,link,2016-9-12
"+ [HW Checker: R, AppScripts, & Google Forms](http://data-steve.github.io/build-homework-checker-pt1/)",102,FALSE,NA,#### Tutorials,link,2016-9-12
+ [The palettes of Earth](http://blog.revolutionanalytics.com/2016/09/the-pallettes-of-earth.html),98,FALSE,NA,#### Tutorials,link,2016-9-12
![The palettes of Earth](https://a7.typepad.com/6a0105360ba1c6970c01b8d21a3227970c-pi),86,FALSE,NA,#### Tutorials,image,2016-9-12
+ [Classification in Spark 2.0: “Input validation failed” and other wondrous tales](http://www.nodalpoint.com/spark-classification/),132,FALSE,NA,#### Tutorials,link,2016-9-12
+ [What Every R Package Must (REALLY) Contain? An Example on the eRum2016 Package](http://r-addict.com/2016/09/08/Package-Must-Have.html),137,FALSE,NA,#### Tutorials,link,2016-9-12
+ [Effect-Size Calculation for Meta-Analysis in R #rstats](https://strengejacke.wordpress.com/2016/09/08/effect-size-calculation-for-meta-analysis-in-r-rstats/),160,FALSE,NA,#### Tutorials,link,2016-9-12
+ [Make Easy Heatmaps to Visualize your Turnaround Times](http://labrtorian.com/2016/09/08/make-easy-heatmaps-to-visualize-your-turnaround-times/),146,FALSE,NA,#### Tutorials,link,2016-9-12
