value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2016-6-27
layout: post,12,FALSE,NA,NA,unid,2016-6-27
title: Issue 5,14,FALSE,NA,NA,unid,2016-6-27
description: Weekly News in R Community.,40,FALSE,NA,NA,unid,2016-6-27
---,3,FALSE,NA,NA,unid,2016-6-27
Hello and welcome to the new issue of **R Weekly**!,51,FALSE,NA,NA,unid,2016-6-27
*Digested by R Weekly Members*,30,FALSE,NA,## Highlight,unid,2016-6-27
+ [One year as a Data Scientist at Stack Overflow](http://varianceexplained.org/r/year_data_scientist/),103,FALSE,NA,## Highlight,link,2016-6-27
"+ [Hadley Wickham - Cupcakes (for-loops vs map/lapply)](https://www.youtube.com/watch?v=GyNqlOjhPCQ) - Excerpt from Hadley's presentation at EdinbR (The Edinburgh R User Group). Alternatively, [a post-presentation audience question from WOMBAT2016](https://youtu.be/hRNUgwAFZtQ?t=47m30s).",288,FALSE,NA,## Highlight,link,2016-6-27
+ [Introducing the p-hacker app: Train your expert p-hacking skills](http://www.nicebread.de/introducing-p-hacker/),115,FALSE,NA,## Highlight,link,2016-6-27
+ [Better prediction intervals for time series forecasts](http://ellisp.github.io/blog/2016/01/30/hybrid-forecasts),115,FALSE,NA,#### Tutorials,link,2016-6-27
+ [MonetDBLite because fast](http://www.asdfree.com/2016/06/monetdblite-because-fast.html) - For Further Reading: [click here](https://www.monetdb.org/blog/monetdblite-r),170,FALSE,NA,#### Tutorials,link,2016-6-27
+ [Bayesian Statistics explained to Beginners in Simple English](http://www.analyticsvidhya.com/blog/2016/06/bayesian-statistics-beginners-simple-english/),155,FALSE,NA,#### Tutorials,link,2016-6-27
+ [LDAvis Show Case on R-Bloggers](http://r-addict.com/2016/06/21/LDAvis-RBloggers.html),88,FALSE,NA,#### Tutorials,link,2016-6-27
+ [Introducing the p-hacker app: Train your expert p-hacking skills](http://www.nicebread.de/introducing-p-hacker/),115,FALSE,NA,#### Tutorials,link,2016-6-27
"+ [Introduction to R for Data Science : Session 8 Intro to Text Mining in R, ML Estimation + Binomial Logistic Regression](http://www.exactness.net/post/146247550535/introduction-to-r-for-data-science-session-8)",211,FALSE,NA,#### Tutorials,link,2016-6-27
"+ [How to use data analysis for machine learning, part 2](http://www.sharpsightlabs.com/data-analysis-machine-learning-example-part2/)",134,FALSE,NA,#### Tutorials,link,2016-6-27
"+ [R, Stan and Bayesian Statistics](http://blog.revolutionanalytics.com/2016/06/r-stan-bayesian-stats.html)",107,FALSE,NA,#### Tutorials,link,2016-6-27
"+ [Quick start guide to analyze, format and visualize a correlation matrix using R software ](http://www.sthda.com/english/wiki/correlation-matrix-a-quick-start-guide-to-analyze-format-and-visualize-a-correlation-matrix-using-r-software)",237,FALSE,NA,#### Tutorials,link,2016-6-27
+ [Turn any string into a color with xkcdcolor package.](https://gist.github.com/rasmusab/2ddd12eb67e9019dd1f16bbaf5935786),123,FALSE,NA,#### Tutorials,link,2016-6-27
[![Turn any string into a color with xkcdcolor package.](https://pbs.twimg.com/media/ClOeFKSWAAArMIj.jpg:large)](https://gist.github.com/rasmusab/2ddd12eb67e9019dd1f16bbaf5935786),179,FALSE,NA,#### Tutorials,unid,2016-6-27
+ [Sentiment Analysis and Topic Detection in R using Microsoft Cognitive Services](https://philferriere.blogspot.de/2016/06/sentiment-analysis-and-topic-detection.html),168,FALSE,NA,#### Tutorials,link,2016-6-27
+ [RPy2: Combining the Power of R + Python for Data Science](http://blog.yhat.com/posts/rpy2-combing-the-power-of-r-and-python.html),132,FALSE,NA,#### Tutorials,link,2016-6-27
+ [Demystifying Text Analytics part 2 — Quantifying Documents by Calculating TF-IDF in R](https://blog.exploratory.io/demystifying-text-analytics-part-2-quantifying-documents-by-calculating-tf-idf-in-r-756955faa1ea#.o343d9vp2),226,FALSE,NA,#### Tutorials,link,2016-6-27
+ [Clustering Mixed Data Types in R](https://dpmartin42.github.io/blogposts/r/cluster-mixed-types),98,FALSE,NA,#### Tutorials,link,2016-6-27
+ [Intro to Text Analysis with R](http://www.r-bloggers.com/intro-to-text-analysis-with-r/),91,FALSE,NA,#### Tutorials,link,2016-6-27
