word,term,estimate,std.error,statistic,p.value,n
ai,year,2.170775335608373,0.5667306588159002,3.8303474531338866,1.2796244325674128e-4,19
tip,year,2.101806899171467,0.5172952285441283,4.0630703381641,4.84314276891991e-5,22
keras,year,1.9170367289897263,0.4720947312906872,4.0607035027665495,4.8925071355296316e-5,24
base,year,1.7310933025130635,0.5348622900183001,3.236521502485873,0.0012099611029704597,17
scraping,year,1.2760260033724506,0.37494136676520295,3.403268127977802,6.658490275245154e-4,28
api,year,1.1489275941369852,0.36512601838066605,3.1466604303699834,0.0016514663422306068,28
adding,year,1.138287005181616,0.49731224692371884,2.288877887530114,0.022086448380021342,15
connect,year,1.0826658999257168,0.4918744290556075,2.2011022244120744,0.027728787857400378,15
evaluation,year,1.07935376161128,0.4915530421114745,2.195803238191544,0.028106029795891396,15
finding,year,1.0639688815901276,0.4745680019163051,2.241973494407171,0.02496308541862116,16
de,year,1.0608838639451266,0.48980650244618434,2.165924418411916,0.030316963018403496,15
public,year,1.0608838594823606,0.4897929131117433,2.1659845030063276,0.030312371169468385,15
purrr,year,0.9664390202794564,0.329937359584828,2.9291591030963007,0.0033988040102812434,32
friday,year,0.9438255428072171,0.3873380978928657,2.4366969010837423,0.01482209743333533,23
blogdown,year,0.928691095325962,0.4042235842331597,2.297468855232071,0.021592037777599903,21
tidytext,year,0.9103016934975292,0.44769387430579377,2.033312818740412,0.04202092891202745,17
tidyverse,year,0.8964273198646997,0.2721332576465124,3.2940748500101162,9.874619965600311e-4,46
post,year,0.8618674168273305,0.3996429680560402,2.1565934739691817,0.03103735347357577,21
tidy,year,0.858818095785228,0.23322844798796524,3.6823042094313627,2.311353673222576e-4,62
results,year,0.8142812415664062,0.33768134414663914,2.4113894820698243,0.015891867417512563,29
image,year,0.7981762888520225,0.4157973888897027,1.9196279490435961,0.054904911113880725,19
comparing,year,0.7939160819589922,0.4155236027754801,1.9106401577577024,0.05605083997194833,19
exploring,year,0.7812086098513823,0.25134423926703064,3.108122199774861,0.0018828020015595223,52
projects,year,0.7291593513628484,0.4010929253954003,1.8179312204124214,0.06907464581692661,20
functions,year,0.7200494372228737,0.26758600845739017,2.690908397542515,0.007125775774762,45
effects,year,0.6778049583001574,0.3886122096012209,1.7441679431423298,0.08112980939873515,21
docker,year,0.6634642383142935,0.4188222147804319,1.584119024493759,0.11316663584139063,18
workshop,year,0.6541995449603524,0.37020109325453066,1.7671464425162013,0.077203706373627,23
community,year,0.6306730143324807,0.3613093662078712,1.7455208010567798,0.08089425486101762,24
tweets,year,0.6133756299560559,0.39477856851630194,1.5537206902120049,0.12025105557483554,20
database,year,0.5958036570434369,0.4271437172577271,1.3948552512220258,0.1630594936443531,17
create,year,0.5926276078028831,0.2980205409740697,1.9885461782798612,0.04675131714176263,35
review,year,0.5856629267030827,0.3520247889260819,1.663697969934896,0.09617280218130567,25
build,year,0.5831744549959121,0.39329044616348763,1.4828085977798995,0.1381252710954307,20
neural,year,0.5713259138008295,0.39272359686695907,1.4547786747695088,0.14573054375861003,20
blog,year,0.5647040402157212,0.35834141256071145,1.5758827208397161,0.11505283382809829,24
images,year,0.5564642848792358,0.3826115708169953,1.4543843608571758,0.14583977337976078,21
excel,year,0.5315070312232142,0.436878263426712,1.2166021423319828,0.22375562724602036,16
avec,year,0.5178591570442851,0.4003962822114655,1.2933665472217912,0.19588431443880444,19
names,year,0.4989582436061195,0.42234235606776876,1.1814070657077478,0.2374410524709827,17
census,year,0.48125540840787023,0.44869119625451165,1.0725759997637376,0.2834613978325173,15
rvest,year,0.46418712073741664,0.4478949309222167,1.0363750261286822,0.30002721668459764,15
popular,year,0.4630880069358343,0.4478449728480847,1.0340364077122737,0.3011191431767468,15
research,year,0.4580228509123589,0.3169173230442495,1.4452439725057489,0.14838936908134823,30
classification,year,0.4566394933120568,0.3877565824758803,1.1776447233889606,0.23893827228460732,20
cloud,year,0.44333756770364424,0.3692834926673178,1.20053448504139,0.22993182792454425,22
ggplot,year,0.44118964939362454,0.3971834575670276,1.1107956310571434,0.2666563274612968,19
game,year,0.42867100709345274,0.39670042188805466,1.080591255873229,0.27987897386018745,19
online,year,0.41238051218375,0.37682043693388445,1.0943687543574097,0.2737932819492582,21
function,year,0.40150987253737047,0.29618050623929865,1.3556255866919584,0.17521832657922257,34
conf,year,0.39063869194745826,0.37607228773878815,1.038732990128716,0.29892893369689655,21
twitter,year,0.3877697552598267,0.2518837392352017,1.5394791122174767,0.12368737339670544,47
web,year,0.38435786821803064,0.2662595615423751,1.44354578664346,0.14886678416758017,42
values,year,0.3802233178908573,0.35908168802370016,1.0588769368427435,0.28965582898311615,23
deep,year,0.37158251083853694,0.2724851170130017,1.3636800237453217,0.17266829385454557,40
processing,year,0.3696895637660272,0.4170720178266538,0.8863926323623081,0.37540598798890856,17
detection,year,0.3640321279592399,0.4437169506143313,0.8204151936391728,0.4119794568995885,15
random,year,0.3625055313516808,0.3665623526345,0.9889327934151921,0.32269602456318325,22
plot,year,0.3584176197576225,0.3942032891272613,0.9092202669113547,0.3632338682488542,19
multiple,year,0.3367433627422854,0.3935068264727863,0.8557497356798041,0.3921362233734329,19
survey,year,0.3281699380274181,0.35753887321195676,0.9178580641576053,0.358693178936298,23
global,year,0.30070663332060926,0.4415072626878737,0.6810910232595555,0.4958138967869111,15
datasets,year,0.287785535508718,0.4144116144820585,0.6944437015077369,0.4874039954466158,17
map,year,0.28729899073660187,0.22326373508582703,1.286814406406658,0.1981589843656133,59
files,year,0.2850879724967963,0.42704745732013044,0.6675791357846299,0.5044022795740055,16
variable,year,0.28470354304782214,0.4410018364212004,0.6455835770622553,0.5185490759945333,15
introduction,year,0.27244006144885463,0.20944536377900627,1.3007691196082833,0.19333749504840156,67
week,year,0.26911705264312763,0.42657834986016546,0.6308736782617907,0.5281231236479218,16
creating,year,0.24792699242500335,0.30164560796454637,0.8219148095607055,0.4111253836701212,32
roundup,year,0.23435638615405052,0.29244566499561636,0.801367276747164,0.42291905345771164,34
variables,year,0.23316971227263264,0.39066258291537903,0.5968570384513616,0.5506028325137232,19
ropensci,year,0.23204534877527203,0.28421674913023026,0.8164379808205712,0.4142496812684913,36
test,year,0.22733437881798182,0.41278682108637405,0.5507307094244973,0.5818182897045053,17
testing,year,0.21497419926344674,0.3403882431492726,0.6315558882836407,0.5276771186559399,25
dplyr,year,0.2138725536143363,0.236567626152887,0.9040651803984222,0.36596084024783265,52
visualizing,year,0.20875746684875415,0.2279780785599017,0.9156909654096532,0.35982900494946357,56
animated,year,0.20255477694695545,0.43874736298026007,0.46166608403312204,0.6443207964309969,15
study,year,0.19320005781836277,0.42463829196409236,0.4549755909311633,0.649126799412727,16
maps,year,0.18855330908956713,0.2960544171212489,0.636887336196525,0.5241982321695224,33
text,year,0.18295266348131173,0.21823356528221455,0.8383342097019842,0.4018430278416209,61
update,year,0.17387372133432605,0.3466195946772169,0.501626924745102,0.6159299761847661,24
parallel,year,0.1698408660400577,0.3893180215838734,0.4362522581130186,0.6626537163368138,19
mapping,year,0.16731106449494346,0.2535282552252296,0.6599306430216527,0.5092983386491303,45
predict,year,0.1488367276950285,0.42372256553434395,0.3512598568059148,0.7253934081169924,16
simulation,year,0.13735975615190069,0.3993615245868339,0.343948396866745,0.7308850943053613,18
project,year,0.1274033822775072,0.37877845654273623,0.3363532959090896,0.7366044642589341,20
1.0.0,year,0.12375490288158691,0.43711600810935397,0.2831168398907664,0.777087273119313,15
stack,year,0.11805516022050387,0.3884413650127044,0.30392015592016763,0.7611887214868235,19
write,year,0.11640848301356622,0.4105555011808314,0.28353896776137333,0.7767637147368217,17
networks,year,0.11363798024802109,0.41051298845212714,0.27681945138082575,0.7819187445651317,17
top,year,0.10986204838751665,0.3989264065941765,0.27539427466198824,0.7830133422542105,18
graphics,year,0.10855065798406323,0.3883023531647153,0.2795518932588512,0.7798213195765659,19
book,year,0.10731601554235849,0.27150091836882234,0.39526943845020185,0.692644051468255,39
world,year,0.0964380761072728,0.24739982359694498,0.38980656778634687,0.6966795868112101,47
rstats,year,0.09593654622634651,0.29053283083798864,0.33020896794911314,0.741242071098845,34
picks,year,0.09492527228577197,0.3881148204417876,0.24458038520074907,0.8067813532008894,19
linear,year,0.08883332012098108,0.2748495506557788,0.32320707786870573,0.7465384209746102,38
app,year,0.07420600612988437,0.26455270124957364,0.2804961195987938,0.7790969021405431,41
tables,year,0.06607154999296885,0.34516968443270163,0.19141759248515622,0.8481984380867564,24
software,year,0.0636088272623276,0.33166459711493795,0.1917866055516442,0.847909363421028,26
support,year,0.05721928716765476,0.37788606492283194,0.15141941574198958,0.8796448744987273,20
population,year,0.043009067214061995,0.38752737831223694,0.11098329981581045,0.9116295897289844,19
based,year,0.03701478511403792,0.29891675014444785,0.12382974556009652,0.9014500795150867,32
call,year,0.03519304387479748,0.3874553092947526,0.09083123403020589,0.9276266914588094,19
tutorial,year,0.03497636978296737,0.2551767870493355,0.13706720813992024,0.890977671902551,44
dataset,year,0.016516943353935998,0.40938132578748593,0.040346108416557606,0.9678171944832668,17
consortium,year,0.014916041550937066,0.35213561704038304,0.042358798227520644,0.96621267310082,23
missed,year,0.01281370086230925,0.36000338934903975,0.035593278400736894,0.9716066679865918,22
rmarkdown,year,0.0022866612537783136,0.40927834000099667,0.005587056607424534,0.9955421969844863,17
introducing,year,0.0011251965134710408,0.319217197708884,0.0035248618230687696,0.9971875729963151,28
modeling,year,-0.005942227419475995,0.34463237815629394,-0.017242220395151442,0.9862433801832572,24
charts,year,-0.017001101717861358,0.3519597531011486,-0.048304107410188646,0.9614738811370355,23
users,year,-0.01998343427933139,0.3136006864616396,-0.06372254635283081,0.9491911518353836,29
0.2.0,year,-0.02753091570081077,0.4091146693489304,-0.06729388546400394,0.946347744549354,17
graphs,year,-0.030133491719179416,0.42165556323057235,-0.07146470803873073,0.9430279116202737,16
sentiment,year,-0.03334118177664659,0.3682063816735185,-0.09055025506377447,0.9278499601752526,21
list,year,-0.04374058872301763,0.36817413934921567,-0.11880407678913424,0.9054305787519392,21
slides,year,-0.04643886712724015,0.39755843719093387,-0.11681016621196026,0.9070104874346975,18
stan,year,-0.04730490453216661,0.39755594285896345,-0.11898930296949038,0.9052838305641965,18
programming,year,-0.04896256231306038,0.27410878977302283,-0.17862456126855353,0.8582325075477215,38
language,year,-0.05200788355345138,0.32485734377879805,-0.16009452933551227,0.87280661055137,27
overflow,year,-0.052299480961947066,0.43536944677947514,-0.12012666793413729,0.9043828073973373,15
azure,year,-0.06639150274097834,0.36813082885668164,-0.1803475762874113,0.8568797074681843,21
google,year,-0.08090450397070906,0.2815401492061311,-0.28736400189755673,0.7738336216169681,36
markdown,year,-0.11282957931877982,0.28156673331167,-0.4007205609545047,0.6886258711338293,36
simple,year,-0.11791387316540423,0.27411580802561597,-0.43016079231149357,0.6670786805337849,38
weekly,year,-0.11874428173965176,0.36817009729298655,-0.3225256005654259,0.7470545466227776,21
